GeneID,TranscriptID,GC
ENSOANG00000022117,ENSOANT00000032003,63.78
ENSOANG00000001180,ENSOANT00000001882,63.02
ENSOANG00000022116,ENSOANT00000032002,64.64
ENSOANG00000001783,ENSOANT00000002837,54.50
ENSOANG00000032219,ENSOANT00000039015,66.90
ENSOANG00000014416,ENSOANT00000022717,50.08
ENSOANG00000029383,ENSOANT00000040752,57.63
ENSOANG00000007762,ENSOANT00000012368,48.21
ENSOANG00000007763,ENSOANT00000012369,46.68
ENSOANG00000031394,ENSOANT00000038904,49.85
ENSOANG00000021493,ENSOANT00000031172,66.11
ENSOANG00000029584,ENSOANT00000041639,49.55
ENSOANG00000020862,ENSOANT00000030343,67.29
ENSOANG00000005340,ENSOANT00000008503,59.80
ENSOANG00000029472,ENSOANT00000039308,58.14
ENSOANG00000005341,ENSOANT00000008504,60.49
ENSOANG00000005342,ENSOANT00000008505,54.02
ENSOANG00000004169,ENSOANT00000006619,68.18
ENSOANG00000028885,ENSOANT00000041648,40.66
ENSOANG00000005343,ENSOANT00000008509,61.28
ENSOANG00000000569,ENSOANT00000000901,62.04
ENSOANG00000031413,ENSOANT00000039705,57.84
ENSOANG00000011426,ENSOANT00000018106,53.37
ENSOANG00000011426,ENSOANT00000018107,53.37
ENSOANG00000031803,ENSOANT00000042310,64.55
ENSOANG00000013599,ENSOANT00000021449,49.75
ENSOANG00000005346,ENSOANT00000008511,49.21
ENSOANG00000005347,ENSOANT00000008514,49.39
ENSOANG00000022448,ENSOANT00000032449,53.30
ENSOANG00000029811,ENSOANT00000041512,48.59
ENSOANG00000013980,ENSOANT00000022049,52.69
ENSOANG00000013980,ENSOANT00000022050,52.69
ENSOANG00000031044,ENSOANT00000042218,41.16
ENSOANG00000003631,ENSOANT00000005762,39.99
ENSOANG00000012314,ENSOANT00000019487,56.87
ENSOANG00000009607,ENSOANT00000015262,57.44
ENSOANG00000021647,ENSOANT00000031368,37.79
ENSOANG00000030643,ENSOANT00000040747,62.12
ENSOANG00000032292,ENSOANT00000041137,61.77
ENSOANG00000014641,ENSOANT00000023073,51.82
ENSOANG00000013984,ENSOANT00000022053,52.40
ENSOANG00000000274,ENSOANT00000000469,54.93
ENSOANG00000029202,ENSOANT00000039189,41.34
ENSOANG00000013985,ENSOANT00000030941,52.75
ENSOANG00000013985,ENSOANT00000022054,52.75
ENSOANG00000013986,ENSOANT00000022059,50.09
ENSOANG00000028409,ENSOANT00000040787,46.28
ENSOANG00000011042,ENSOANT00000017494,56.65
ENSOANG00000008669,ENSOANT00000013811,65.34
ENSOANG00000002174,ENSOANT00000003455,51.23
ENSOANG00000030004,ENSOANT00000041132,44.68
ENSOANG00000030964,ENSOANT00000039455,49.16
ENSOANG00000029728,ENSOANT00000040275,39.07
ENSOANG00000013990,ENSOANT00000022064,49.57
ENSOANG00000019720,ENSOANT00000028807,47.72
ENSOANG00000021680,ENSOANT00000031414,43.83
ENSOANG00000013992,ENSOANT00000022066,50.29
ENSOANG00000013992,ENSOANT00000022068,50.29
ENSOANG00000029324,ENSOANT00000039608,49.80
ENSOANG00000029593,ENSOANT00000041838,65.27
ENSOANG00000032257,ENSOANT00000040940,50.06
ENSOANG00000029369,ENSOANT00000041191,50.05
ENSOANG00000002951,ENSOANT00000004687,45.82
ENSOANG00000002950,ENSOANT00000004686,53.96
ENSOANG00000002342,ENSOANT00000032333,56.20
ENSOANG00000002949,ENSOANT00000004685,46.91
ENSOANG00000002343,ENSOANT00000003715,57.04
ENSOANG00000010448,ENSOANT00000016560,40.14
ENSOANG00000012294,ENSOANT00000019453,55.49
ENSOANG00000003927,ENSOANT00000006217,61.85
ENSOANG00000029978,ENSOANT00000042229,57.57
ENSOANG00000032177,ENSOANT00000040506,48.24
ENSOANG00000029852,ENSOANT00000039364,56.43
ENSOANG00000007343,ENSOANT00000011693,45.32
ENSOANG00000003928,ENSOANT00000006218,61.24
ENSOANG00000006285,ENSOANT00000010050,55.81
ENSOANG00000021152,ENSOANT00000030723,61.78
ENSOANG00000003060,ENSOANT00000004846,53.92
ENSOANG00000030292,ENSOANT00000039521,56.06
ENSOANG00000030927,ENSOANT00000041892,57.32
ENSOANG00000020868,ENSOANT00000030349,65.81
ENSOANG00000031263,ENSOANT00000038668,68.47
ENSOANG00000002915,ENSOANT00000004630,56.41
ENSOANG00000021502,ENSOANT00000031182,49.36
ENSOANG00000022425,ENSOANT00000032413,61.18
ENSOANG00000002916,ENSOANT00000004631,52.66
ENSOANG00000010555,ENSOANT00000016728,62.09
ENSOANG00000010555,ENSOANT00000016729,62.09
ENSOANG00000021218,ENSOANT00000030807,41.99
ENSOANG00000003061,ENSOANT00000004850,65.57
ENSOANG00000028313,ENSOANT00000038567,67.26
ENSOANG00000002919,ENSOANT00000004636,52.18
ENSOANG00000002919,ENSOANT00000004638,52.18
ENSOANG00000029056,ENSOANT00000040207,60.16
ENSOANG00000029427,ENSOANT00000040640,63.59
ENSOANG00000021351,ENSOANT00000030974,43.39
ENSOANG00000002921,ENSOANT00000004639,40.11
ENSOANG00000008831,ENSOANT00000014069,52.95
ENSOANG00000020478,ENSOANT00000029844,55.77
ENSOANG00000032210,ENSOANT00000041264,53.97
ENSOANG00000008829,ENSOANT00000014068,53.89
ENSOANG00000013666,ENSOANT00000021562,44.83
ENSOANG00000032232,ENSOANT00000039860,65.35
ENSOANG00000002922,ENSOANT00000004641,52.99
ENSOANG00000020955,ENSOANT00000030468,43.80
ENSOANG00000028969,ENSOANT00000038525,65.40
ENSOANG00000019999,ENSOANT00000029193,42.95
ENSOANG00000006570,ENSOANT00000010487,51.60
ENSOANG00000008828,ENSOANT00000014066,50.53
ENSOANG00000031441,ENSOANT00000039533,43.80
ENSOANG00000015532,ENSOANT00000024471,42.87
ENSOANG00000021867,ENSOANT00000031676,53.31
ENSOANG00000012387,ENSOANT00000019603,45.65
ENSOANG00000015530,ENSOANT00000024469,43.60
ENSOANG00000015528,ENSOANT00000024465,45.96
ENSOANG00000015526,ENSOANT00000024463,42.54
ENSOANG00000002259,ENSOANT00000003582,56.12
ENSOANG00000015522,ENSOANT00000024459,42.65
ENSOANG00000002234,ENSOANT00000003544,51.60
ENSOANG00000002498,ENSOANT00000003952,41.10
ENSOANG00000012963,ENSOANT00000020500,63.01
ENSOANG00000002500,ENSOANT00000003961,41.43
ENSOANG00000000276,ENSOANT00000000471,56.44
ENSOANG00000031112,ENSOANT00000039693,44.72
ENSOANG00000013930,ENSOANT00000021963,56.56
ENSOANG00000032276,ENSOANT00000042121,42.97
ENSOANG00000010002,ENSOANT00000015855,65.24
ENSOANG00000002504,ENSOANT00000003964,41.54
ENSOANG00000019965,ENSOANT00000029145,45.42
ENSOANG00000002505,ENSOANT00000003967,42.64
ENSOANG00000019964,ENSOANT00000029144,49.43
ENSOANG00000015746,ENSOANT00000024820,50.97
ENSOANG00000009005,ENSOANT00000030618,63.78
ENSOANG00000011881,ENSOANT00000018836,60.23
ENSOANG00000031403,ENSOANT00000040674,40.17
ENSOANG00000028328,ENSOANT00000041632,54.20
ENSOANG00000009391,ENSOANT00000014938,45.57
ENSOANG00000015744,ENSOANT00000024818,50.69
ENSOANG00000022157,ENSOANT00000032060,42.26
ENSOANG00000030130,ENSOANT00000041327,46.72
ENSOANG00000032252,ENSOANT00000041969,54.15
ENSOANG00000002894,ENSOANT00000004598,48.13
ENSOANG00000029379,ENSOANT00000041781,61.40
ENSOANG00000013246,ENSOANT00000020925,59.85
ENSOANG00000015743,ENSOANT00000024815,57.74
ENSOANG00000000853,ENSOANT00000001323,62.51
ENSOANG00000015740,ENSOANT00000024813,52.08
ENSOANG00000015740,ENSOANT00000024814,52.08
ENSOANG00000009836,ENSOANT00000015600,45.32
ENSOANG00000009836,ENSOANT00000015599,45.32
ENSOANG00000014658,ENSOANT00000023099,57.04
ENSOANG00000015739,ENSOANT00000024810,50.54
ENSOANG00000015738,ENSOANT00000024808,41.05
ENSOANG00000030163,ENSOANT00000038740,40.49
ENSOANG00000001860,ENSOANT00000002956,69.21
ENSOANG00000009837,ENSOANT00000015602,46.03
ENSOANG00000009837,ENSOANT00000015601,46.03
ENSOANG00000022176,ENSOANT00000032089,51.11
ENSOANG00000015737,ENSOANT00000024806,38.61
ENSOANG00000004621,ENSOANT00000007327,48.38
ENSOANG00000029425,ENSOANT00000039828,41.30
ENSOANG00000000747,ENSOANT00000001168,48.43
ENSOANG00000000747,ENSOANT00000032700,48.43
ENSOANG00000015736,ENSOANT00000024805,54.83
ENSOANG00000007036,ENSOANT00000011202,53.61
ENSOANG00000013047,ENSOANT00000020635,47.75
ENSOANG00000006945,ENSOANT00000011065,56.25
ENSOANG00000006945,ENSOANT00000011066,56.25
ENSOANG00000001687,ENSOANT00000002699,55.85
ENSOANG00000021514,ENSOANT00000031197,42.93
ENSOANG00000002895,ENSOANT00000004599,48.37
ENSOANG00000015735,ENSOANT00000024803,55.97
ENSOANG00000007720,ENSOANT00000012296,60.37
ENSOANG00000007720,ENSOANT00000012297,60.37
ENSOANG00000015734,ENSOANT00000024802,42.22
ENSOANG00000007652,ENSOANT00000012191,52.55
ENSOANG00000004622,ENSOANT00000007329,47.06
ENSOANG00000004170,ENSOANT00000006621,43.26
ENSOANG00000021463,ENSOANT00000003100,52.00
ENSOANG00000020894,ENSOANT00000030386,60.40
ENSOANG00000007076,ENSOANT00000011260,47.83
ENSOANG00000004623,ENSOANT00000007331,46.82
ENSOANG00000002896,ENSOANT00000004600,50.16
ENSOANG00000029310,ENSOANT00000039424,42.59
ENSOANG00000007078,ENSOANT00000011263,47.34
ENSOANG00000004624,ENSOANT00000007332,43.05
ENSOANG00000002897,ENSOANT00000004601,49.50
ENSOANG00000032156,ENSOANT00000040056,41.95
ENSOANG00000020922,ENSOANT00000030423,44.89
ENSOANG00000004625,ENSOANT00000007333,47.69
ENSOANG00000005763,ENSOANT00000009184,69.58
ENSOANG00000004627,ENSOANT00000007337,41.64
ENSOANG00000002898,ENSOANT00000004602,47.11
ENSOANG00000006825,ENSOANT00000010887,41.77
ENSOANG00000031903,ENSOANT00000039675,56.58
ENSOANG00000004628,ENSOANT00000016947,47.31
ENSOANG00000013052,ENSOANT00000020636,56.36
ENSOANG00000004629,ENSOANT00000007341,45.05
ENSOANG00000002899,ENSOANT00000004604,52.87
ENSOANG00000021900,ENSOANT00000031718,59.58
ENSOANG00000029722,ENSOANT00000041384,63.15
ENSOANG00000010970,ENSOANT00000017384,59.73
ENSOANG00000002900,ENSOANT00000004608,48.83
ENSOANG00000002900,ENSOANT00000004607,48.83
ENSOANG00000004633,ENSOANT00000007350,43.58
ENSOANG00000031815,ENSOANT00000038794,57.35
ENSOANG00000007062,ENSOANT00000011239,49.49
ENSOANG00000007061,ENSOANT00000011238,49.89
ENSOANG00000013513,ENSOANT00000021319,47.39
ENSOANG00000002707,ENSOANT00000004308,45.42
ENSOANG00000002707,ENSOANT00000004309,45.42
ENSOANG00000004640,ENSOANT00000007357,42.28
ENSOANG00000010971,ENSOANT00000017386,54.27
ENSOANG00000020910,ENSOANT00000030406,46.68
ENSOANG00000001028,ENSOANT00000001640,41.89
ENSOANG00000004410,ENSOANT00000006986,53.93
ENSOANG00000002901,ENSOANT00000004609,43.35
ENSOANG00000002901,ENSOANT00000004610,43.35
ENSOANG00000022336,ENSOANT00000032305,45.76
ENSOANG00000029591,ENSOANT00000040772,46.11
ENSOANG00000004642,ENSOANT00000007359,45.04
ENSOANG00000030897,ENSOANT00000042224,46.42
ENSOANG00000029529,ENSOANT00000001641,43.49
ENSOANG00000009550,ENSOANT00000015165,49.92
ENSOANG00000031313,ENSOANT00000040637,52.17
ENSOANG00000004643,ENSOANT00000007361,50.16
ENSOANG00000030081,ENSOANT00000038805,52.30
ENSOANG00000002902,ENSOANT00000004611,43.52
ENSOANG00000002902,ENSOANT00000004613,43.52
ENSOANG00000009551,ENSOANT00000015167,45.73
ENSOANG00000001662,ENSOANT00000002667,47.26
ENSOANG00000020909,ENSOANT00000030405,46.69
ENSOANG00000002903,ENSOANT00000004614,42.62
ENSOANG00000009745,ENSOANT00000015464,49.19
ENSOANG00000002163,ENSOANT00000003434,41.66
ENSOANG00000002162,ENSOANT00000003433,42.52
ENSOANG00000010479,ENSOANT00000016608,41.00
ENSOANG00000002160,ENSOANT00000003431,38.96
ENSOANG00000006350,ENSOANT00000010142,62.30
ENSOANG00000006350,ENSOANT00000010143,62.30
ENSOANG00000002159,ENSOANT00000003428,41.57
ENSOANG00000007710,ENSOANT00000012282,64.57
ENSOANG00000029312,ENSOANT00000041413,45.68
ENSOANG00000002156,ENSOANT00000003425,41.69
ENSOANG00000031247,ENSOANT00000040781,65.40
ENSOANG00000002905,ENSOANT00000004617,66.99
ENSOANG00000009421,ENSOANT00000014981,44.14
ENSOANG00000002906,ENSOANT00000004618,67.65
ENSOANG00000012372,ENSOANT00000019582,40.11
ENSOANG00000002907,ENSOANT00000004619,64.93
ENSOANG00000005239,ENSOANT00000008326,59.26
ENSOANG00000005239,ENSOANT00000008328,59.26
ENSOANG00000006258,ENSOANT00000010014,60.49
ENSOANG00000005241,ENSOANT00000008329,60.44
ENSOANG00000005241,ENSOANT00000008330,60.44
ENSOANG00000013866,ENSOANT00000021872,49.59
ENSOANG00000019986,ENSOANT00000029172,44.06
ENSOANG00000008016,ENSOANT00000012748,53.90
ENSOANG00000014850,ENSOANT00000023387,43.59
ENSOANG00000014849,ENSOANT00000023384,44.06
ENSOANG00000008948,ENSOANT00000014255,51.13
ENSOANG00000008949,ENSOANT00000014257,54.68
ENSOANG00000020601,ENSOANT00000030002,52.99
ENSOANG00000012230,ENSOANT00000019356,46.90
ENSOANG00000012230,ENSOANT00000019357,46.90
ENSOANG00000014848,ENSOANT00000023383,44.03
ENSOANG00000020600,ENSOANT00000030000,51.02
ENSOANG00000005606,ENSOANT00000008925,50.50
ENSOANG00000012478,ENSOANT00000019742,46.24
ENSOANG00000012479,ENSOANT00000019743,43.48
ENSOANG00000012480,ENSOANT00000019745,48.58
ENSOANG00000012480,ENSOANT00000019744,48.58
ENSOANG00000028998,ENSOANT00000038459,65.80
ENSOANG00000022272,ENSOANT00000032211,51.00
ENSOANG00000012615,ENSOANT00000019951,67.80
ENSOANG00000004066,ENSOANT00000006457,57.86
ENSOANG00000022273,ENSOANT00000032212,48.17
ENSOANG00000020737,ENSOANT00000030179,46.18
ENSOANG00000031829,ENSOANT00000039684,42.56
ENSOANG00000008176,ENSOANT00000012993,49.18
ENSOANG00000021503,ENSOANT00000031183,46.04
ENSOANG00000008177,ENSOANT00000012994,49.20
ENSOANG00000006306,ENSOANT00000010087,61.74
ENSOANG00000012283,ENSOANT00000019436,65.75
ENSOANG00000008178,ENSOANT00000012995,49.15
ENSOANG00000008178,ENSOANT00000013005,49.15
ENSOANG00000012533,ENSOANT00000019826,61.98
ENSOANG00000020221,ENSOANT00000029498,40.53
ENSOANG00000012165,ENSOANT00000019272,40.44
ENSOANG00000022416,ENSOANT00000032402,59.26
ENSOANG00000029822,ENSOANT00000039947,50.89
ENSOANG00000031179,ENSOANT00000042254,53.43
ENSOANG00000029474,ENSOANT00000042041,42.83
ENSOANG00000008179,ENSOANT00000012997,47.76
ENSOANG00000001789,ENSOANT00000002843,48.66
ENSOANG00000001790,ENSOANT00000002847,51.76
ENSOANG00000000458,ENSOANT00000000733,63.03
ENSOANG00000029063,ENSOANT00000039168,59.13
ENSOANG00000000650,ENSOANT00000001017,45.79
ENSOANG00000022060,ENSOANT00000031926,55.98
ENSOANG00000013102,ENSOANT00000020710,48.40
ENSOANG00000006931,ENSOANT00000011044,48.21
ENSOANG00000014211,ENSOANT00000022411,49.30
ENSOANG00000022061,ENSOANT00000031927,52.19
ENSOANG00000001792,ENSOANT00000002849,50.37
ENSOANG00000008181,ENSOANT00000013002,55.17
ENSOANG00000011938,ENSOANT00000018925,44.35
ENSOANG00000008182,ENSOANT00000013004,51.11
ENSOANG00000002520,ENSOANT00000032281,48.45
ENSOANG00000008184,ENSOANT00000013006,53.98
ENSOANG00000008185,ENSOANT00000013007,43.61
ENSOANG00000009535,ENSOANT00000030487,64.17
ENSOANG00000015278,ENSOANT00000024052,61.94
ENSOANG00000020381,ENSOANT00000029708,40.33
ENSOANG00000008186,ENSOANT00000013008,42.79
ENSOANG00000008186,ENSOANT00000013009,42.79
ENSOANG00000007649,ENSOANT00000012189,54.81
ENSOANG00000012509,ENSOANT00000019790,60.66
ENSOANG00000031756,ENSOANT00000038556,61.99
ENSOANG00000010775,ENSOANT00000017083,58.07
ENSOANG00000013638,ENSOANT00000021525,38.46
ENSOANG00000010776,ENSOANT00000017085,55.51
ENSOANG00000008188,ENSOANT00000013011,53.88
ENSOANG00000008189,ENSOANT00000013012,52.62
ENSOANG00000006927,ENSOANT00000011038,53.21
ENSOANG00000008190,ENSOANT00000013015,46.52
ENSOANG00000010777,ENSOANT00000017087,57.69
ENSOANG00000010778,ENSOANT00000017088,49.30
ENSOANG00000010778,ENSOANT00000017089,49.30
ENSOANG00000021944,ENSOANT00000008462,48.03
ENSOANG00000008193,ENSOANT00000013020,45.46
ENSOANG00000029508,ENSOANT00000040470,44.62
ENSOANG00000031616,ENSOANT00000040697,58.17
ENSOANG00000012035,ENSOANT00000019064,52.08
ENSOANG00000030613,ENSOANT00000040885,54.66
ENSOANG00000006926,ENSOANT00000011036,60.67
ENSOANG00000015359,ENSOANT00000024169,50.49
ENSOANG00000029280,ENSOANT00000041118,45.64
ENSOANG00000006925,ENSOANT00000011035,58.07
ENSOANG00000006553,ENSOANT00000010459,44.75
ENSOANG00000028373,ENSOANT00000041485,60.80
ENSOANG00000011660,ENSOANT00000018480,60.57
ENSOANG00000030886,ENSOANT00000040517,51.59
ENSOANG00000022428,ENSOANT00000032418,54.44
ENSOANG00000010779,ENSOANT00000017092,50.13
ENSOANG00000005084,ENSOANT00000008075,43.68
ENSOANG00000010780,ENSOANT00000017093,52.64
ENSOANG00000006924,ENSOANT00000011033,57.10
ENSOANG00000006924,ENSOANT00000011034,57.10
ENSOANG00000005083,ENSOANT00000008069,46.85
ENSOANG00000010781,ENSOANT00000017095,43.10
ENSOANG00000005081,ENSOANT00000008065,45.97
ENSOANG00000020293,ENSOANT00000029588,70.43
ENSOANG00000029805,ENSOANT00000040928,68.95
ENSOANG00000031730,ENSOANT00000041741,48.76
ENSOANG00000029166,ENSOANT00000041803,48.37
ENSOANG00000005080,ENSOANT00000008062,47.60
ENSOANG00000002367,ENSOANT00000003749,39.32
ENSOANG00000006923,ENSOANT00000011032,48.79
ENSOANG00000002366,ENSOANT00000003747,43.91
ENSOANG00000002365,ENSOANT00000003746,43.40
ENSOANG00000020068,ENSOANT00000029284,61.30
ENSOANG00000013893,ENSOANT00000021908,61.05
ENSOANG00000002363,ENSOANT00000003744,44.31
ENSOANG00000002362,ENSOANT00000003743,53.58
ENSOANG00000029842,ENSOANT00000041048,45.54
ENSOANG00000011664,ENSOANT00000018482,58.45
ENSOANG00000011665,ENSOANT00000018484,61.85
ENSOANG00000002361,ENSOANT00000003742,48.00
ENSOANG00000011667,ENSOANT00000018486,71.04
ENSOANG00000004557,ENSOANT00000007226,46.19
ENSOANG00000004557,ENSOANT00000007479,46.19
ENSOANG00000002355,ENSOANT00000003733,41.07
ENSOANG00000002360,ENSOANT00000003741,44.54
ENSOANG00000010782,ENSOANT00000017097,56.80
ENSOANG00000011669,ENSOANT00000018487,64.99
ENSOANG00000002359,ENSOANT00000003740,52.30
ENSOANG00000004720,ENSOANT00000007480,49.96
ENSOANG00000002358,ENSOANT00000003739,52.44
ENSOANG00000002357,ENSOANT00000003738,43.26
ENSOANG00000020608,ENSOANT00000030011,64.50
ENSOANG00000002356,ENSOANT00000003735,43.71
ENSOANG00000002354,ENSOANT00000003731,48.68
ENSOANG00000028960,ENSOANT00000039178,57.21
ENSOANG00000002353,ENSOANT00000003730,54.70
ENSOANG00000010783,ENSOANT00000017098,57.63
ENSOANG00000006922,ENSOANT00000011030,51.60
ENSOANG00000002352,ENSOANT00000003729,48.16
ENSOANG00000012851,ENSOANT00000020330,47.40
ENSOANG00000002351,ENSOANT00000003728,45.74
ENSOANG00000006921,ENSOANT00000011028,52.00
ENSOANG00000002350,ENSOANT00000003727,53.32
ENSOANG00000002348,ENSOANT00000029160,48.46
ENSOANG00000006920,ENSOANT00000011026,56.84
ENSOANG00000002346,ENSOANT00000003720,55.08
ENSOANG00000002346,ENSOANT00000003721,55.08
ENSOANG00000010954,ENSOANT00000017359,54.05
ENSOANG00000006919,ENSOANT00000011025,49.93
ENSOANG00000006918,ENSOANT00000011024,46.55
ENSOANG00000002345,ENSOANT00000003718,46.60
ENSOANG00000007741,ENSOANT00000012335,39.01
ENSOANG00000006917,ENSOANT00000011023,47.92
ENSOANG00000006916,ENSOANT00000011022,51.62
ENSOANG00000006915,ENSOANT00000011019,47.85
ENSOANG00000031515,ENSOANT00000042409,68.70
ENSOANG00000006914,ENSOANT00000032411,43.03
ENSOANG00000006914,ENSOANT00000011018,43.03
ENSOANG00000006913,ENSOANT00000011017,46.30
ENSOANG00000006911,ENSOANT00000011012,47.06
ENSOANG00000006911,ENSOANT00000011013,47.06
ENSOANG00000006910,ENSOANT00000011011,46.91
ENSOANG00000011109,ENSOANT00000017604,50.93
ENSOANG00000001983,ENSOANT00000030047,43.29
ENSOANG00000006906,ENSOANT00000011004,47.70
ENSOANG00000006909,ENSOANT00000011009,48.51
ENSOANG00000006907,ENSOANT00000032405,47.98
ENSOANG00000004838,ENSOANT00000007668,43.51
ENSOANG00000004837,ENSOANT00000007666,57.06
ENSOANG00000008077,ENSOANT00000012843,58.18
ENSOANG00000008076,ENSOANT00000012842,51.01
ENSOANG00000004836,ENSOANT00000007664,54.40
ENSOANG00000008075,ENSOANT00000012841,46.66
ENSOANG00000022419,ENSOANT00000011003,46.18
ENSOANG00000004835,ENSOANT00000007663,63.60
ENSOANG00000004834,ENSOANT00000007661,48.72
ENSOANG00000008073,ENSOANT00000012838,40.34
ENSOANG00000008073,ENSOANT00000012839,40.34
ENSOANG00000002468,ENSOANT00000003912,62.31
ENSOANG00000007584,ENSOANT00000012088,44.57
ENSOANG00000004833,ENSOANT00000007658,48.55
ENSOANG00000004833,ENSOANT00000007659,48.55
ENSOANG00000007585,ENSOANT00000012090,38.38
ENSOANG00000008204,ENSOANT00000013036,61.57
ENSOANG00000004832,ENSOANT00000007655,51.95
ENSOANG00000004832,ENSOANT00000007656,51.95
ENSOANG00000009851,ENSOANT00000015625,60.54
ENSOANG00000008072,ENSOANT00000012834,44.15
ENSOANG00000006904,ENSOANT00000011001,51.98
ENSOANG00000008071,ENSOANT00000012832,50.64
ENSOANG00000004831,ENSOANT00000007654,49.59
ENSOANG00000004831,ENSOANT00000007653,49.59
ENSOANG00000008070,ENSOANT00000012831,50.93
ENSOANG00000008069,ENSOANT00000012830,60.34
ENSOANG00000008068,ENSOANT00000012829,61.75
ENSOANG00000031245,ENSOANT00000039549,49.32
ENSOANG00000008067,ENSOANT00000012828,44.75
ENSOANG00000008066,ENSOANT00000012825,44.64
ENSOANG00000008066,ENSOANT00000012826,44.64
ENSOANG00000005314,ENSOANT00000008463,45.54
ENSOANG00000006729,ENSOANT00000010741,48.94
ENSOANG00000008064,ENSOANT00000012824,45.76
ENSOANG00000006903,ENSOANT00000010999,55.70
ENSOANG00000006902,ENSOANT00000010998,51.61
ENSOANG00000006730,ENSOANT00000010742,46.13
ENSOANG00000013702,ENSOANT00000021613,47.45
ENSOANG00000019934,ENSOANT00000029108,60.05
ENSOANG00000006731,ENSOANT00000010743,44.75
ENSOANG00000008063,ENSOANT00000012821,46.96
ENSOANG00000006733,ENSOANT00000010746,63.71
ENSOANG00000006734,ENSOANT00000010747,61.77
ENSOANG00000013701,ENSOANT00000021611,48.93
ENSOANG00000013701,ENSOANT00000021612,48.93
ENSOANG00000008062,ENSOANT00000012820,41.22
ENSOANG00000022098,ENSOANT00000031980,61.20
ENSOANG00000029477,ENSOANT00000012819,39.22
ENSOANG00000008061,ENSOANT00000012818,41.81
ENSOANG00000013700,ENSOANT00000021610,54.65
ENSOANG00000022403,ENSOANT00000032384,63.33
ENSOANG00000028818,ENSOANT00000039849,42.21
ENSOANG00000008059,ENSOANT00000012814,45.68
ENSOANG00000013699,ENSOANT00000021609,47.77
ENSOANG00000031065,ENSOANT00000038869,44.68
ENSOANG00000006736,ENSOANT00000010750,46.04
ENSOANG00000008060,ENSOANT00000012815,44.07
ENSOANG00000008060,ENSOANT00000012816,44.07
ENSOANG00000008060,ENSOANT00000012817,44.07
ENSOANG00000013900,ENSOANT00000021917,53.34
ENSOANG00000013698,ENSOANT00000021605,52.10
ENSOANG00000013697,ENSOANT00000021604,51.87
ENSOANG00000013696,ENSOANT00000021603,61.87
ENSOANG00000013695,ENSOANT00000021600,51.36
ENSOANG00000013903,ENSOANT00000021921,51.13
ENSOANG00000013694,ENSOANT00000021598,68.09
ENSOANG00000013901,ENSOANT00000021918,53.35
ENSOANG00000013902,ENSOANT00000021920,44.56
ENSOANG00000013693,ENSOANT00000021596,46.33
ENSOANG00000013692,ENSOANT00000021594,54.42
ENSOANG00000008057,ENSOANT00000012811,51.01
ENSOANG00000012398,ENSOANT00000019621,44.61
ENSOANG00000008056,ENSOANT00000012810,41.67
ENSOANG00000013691,ENSOANT00000021593,46.20
ENSOANG00000008054,ENSOANT00000012808,39.08
ENSOANG00000030606,ENSOANT00000039244,44.35
ENSOANG00000008053,ENSOANT00000012806,45.99
ENSOANG00000013688,ENSOANT00000039561,48.71
ENSOANG00000013688,ENSOANT00000021590,48.71
ENSOANG00000008052,ENSOANT00000012804,42.36
ENSOANG00000010837,ENSOANT00000017173,48.33
ENSOANG00000008050,ENSOANT00000012802,42.10
ENSOANG00000013685,ENSOANT00000021582,47.74
ENSOANG00000008049,ENSOANT00000012800,45.41
ENSOANG00000013684,ENSOANT00000021581,52.58
ENSOANG00000008048,ENSOANT00000012799,44.64
ENSOANG00000029364,ENSOANT00000040649,52.18
ENSOANG00000008046,ENSOANT00000012796,39.96
ENSOANG00000008045,ENSOANT00000012793,43.67
ENSOANG00000021810,ENSOANT00000002126,51.47
ENSOANG00000021810,ENSOANT00000031600,51.47
ENSOANG00000008043,ENSOANT00000012792,47.01
ENSOANG00000008042,ENSOANT00000012789,43.78
ENSOANG00000021808,ENSOANT00000025066,48.93
ENSOANG00000008041,ENSOANT00000012788,41.22
ENSOANG00000012815,ENSOANT00000020274,51.77
ENSOANG00000008040,ENSOANT00000012786,42.56
ENSOANG00000028487,ENSOANT00000041276,58.70
ENSOANG00000012816,ENSOANT00000020276,49.47
ENSOANG00000030851,ENSOANT00000041961,40.33
ENSOANG00000009561,ENSOANT00000015180,48.46
ENSOANG00000015468,ENSOANT00000024348,52.79
ENSOANG00000029892,ENSOANT00000041453,66.17
ENSOANG00000008037,ENSOANT00000012780,42.50
ENSOANG00000008033,ENSOANT00000012778,48.20
ENSOANG00000005880,ENSOANT00000009361,58.84
ENSOANG00000008032,ENSOANT00000012774,42.39
ENSOANG00000008031,ENSOANT00000012772,49.79
ENSOANG00000005260,ENSOANT00000008364,49.30
ENSOANG00000005258,ENSOANT00000008363,43.81
ENSOANG00000005254,ENSOANT00000008355,41.26
ENSOANG00000005254,ENSOANT00000008358,41.26
ENSOANG00000005881,ENSOANT00000009363,57.51
ENSOANG00000005881,ENSOANT00000009364,57.51
ENSOANG00000029246,ENSOANT00000042418,54.40
ENSOANG00000005253,ENSOANT00000008352,48.42
ENSOANG00000005252,ENSOANT00000008350,42.38
ENSOANG00000028528,ENSOANT00000039646,49.45
ENSOANG00000004710,ENSOANT00000007463,39.92
ENSOANG00000004710,ENSOANT00000007462,39.92
