default,student,balance,income
No,No,354.57,30950
No,No,0,46450
No,No,1051.40,30070
No,No,0,41370
No,No,887.46,30560
No,No,688.10,20090
No,No,1257.34,40810
No,No,1175.81,41440
No,No,0,34830
No,No,608.55,22550
No,No,0,32600
Yes,Yes,2110.55,19340
No,No,696.90,38710
No,No,559.46,61180
No,No,715.39,49470
No,Yes,2026.86,20460
No,Yes,1187.35,24260
No,No,785.79,42880
No,No,845.92,42790
No,Yes,1032.67,13900
No,No,861.27,38110
No,No,1601.87,27880
No,No,955.92,10830
No,Yes,877.87,18210
No,No,1043.75,31520
No,Yes,1080.07,11230
No,No,589.21,47720
No,Yes,769.53,23040
No,No,951.04,33320
No,No,1189.15,36220
No,No,1709.34,35290
No,Yes,1402.55,16600
No,No,250.87,51660
No,No,681.41,26420
No,No,1333.24,39190
No,No,858.76,29150
No,Yes,992.77,14200
No,No,265.30,32270
No,No,754.47,31590
No,Yes,584.08,24440
No,No,1175.23,47680
No,No,1388.66,31020
No,No,410.09,37320
No,No,59.13,34160
No,Yes,1939.71,13830
No,No,886.14,24460
No,No,770.99,40990
No,Yes,306.41,13590
No,No,1022.10,37090
No,No,847.98,24950
No,No,1596.22,42990
No,Yes,1635.22,8530
No,No,0,45210
No,No,1306.79,48790
No,No,932.95,35850
No,Yes,1052.87,13480
No,Yes,1304.63,13490
No,Yes,2052.13,13130
No,No,1216.72,52370
No,No,526.47,44240
No,No,153.44,36810
No,No,905.64,47270
No,No,1068.87,41690
No,No,0,30040
No,Yes,992.44,14200
No,No,964.60,36670
No,No,493.63,43520
No,No,835.65,44230
No,No,480.09,57060
No,No,637.60,52340
No,Yes,2134.01,17890
No,No,1475.20,42240
No,No,887.34,55750
No,No,1376.30,43230
No,No,1304.70,45160
No,No,225.50,54530
No,No,1261.26,39980
No,Yes,30.58,16240
No,Yes,437.03,16260
No,No,922.63,52200
No,No,412.74,44650
No,No,693.10,54490
No,Yes,915.46,27280
No,Yes,1322.49,22930
No,No,1610.08,40490
No,No,1113.13,27110
No,No,0,47800
No,No,1163.14,44420
No,No,924.29,26390
Yes,Yes,1983.23,25680
No,No,725.70,49330
No,Yes,1030.49,16660
No,Yes,1038.97,13730
No,Yes,292.85,15220
No,Yes,495.11,14880
No,No,659.04,47940
No,No,291.96,48510
No,No,471.35,45570
No,No,855.82,56210
No,No,918.68,48160
No,No,1251.32,37880
Yes,No,1066.88,44910
No,Yes,1427.12,12550
No,Yes,1263.88,12410
No,Yes,1128.14,10150
No,No,694.39,36570
No,Yes,805.39,17900
No,No,519.51,39700
No,Yes,1051.29,16290
No,No,421.89,37320
No,Yes,622.41,13070
No,Yes,1005.26,21390
No,Yes,537.49,9420
No,Yes,189.99,24710
No,No,309.86,56100
No,No,969.44,33410
No,Yes,775.58,17030
No,No,1296.47,48680
No,No,1037.15,38490
No,No,978.65,25740
No,No,965.04,47980
No,Yes,816.04,17890
No,Yes,716.18,7990
No,No,1130.60,43930
No,No,383.70,41310
No,No,1008.15,20320
No,No,652.81,41160
No,Yes,1232.79,16270
No,No,803.22,52860
No,Yes,1443.43,22690
No,Yes,1288.44,21210
No,No,0,43190
No,Yes,1053.33,10210
No,Yes,744.78,22340
No,No,412.68,33920
No,No,943.40,35280
No,No,1192.97,39500
No,Yes,1071.51,11080
No,No,1493.27,41000
No,Yes,1132.83,15700
No,Yes,597.48,14790
No,Yes,792.97,17340
No,No,1376.07,22310
No,No,1060.01,39750
No,No,532.32,30850
No,No,0,28710
No,Yes,894.12,24670
No,No,906.43,37300
No,No,0,28720
No,No,506.42,35330
No,Yes,943.50,14120
No,Yes,0,14870
No,No,442.48,54990
No,Yes,380.96,20110
No,No,961.99,37070
Yes,No,1789.09,48330
No,No,76.47,27280
No,No,1067.13,53990
No,No,0,39590
No,No,253.13,40970
No,No,1056.92,55400
No,No,179.70,37720
No,Yes,990.93,18190
No,No,693.75,36720
No,No,965.27,37700
No,No,300.87,51420
No,No,1265.04,47290
No,No,558.67,40330
No,No,1183.98,53590
No,Yes,1165.84,20490
No,Yes,1542.19,17260
No,Yes,587.76,22660
No,No,0,31000
No,No,389.97,27320
No,No,647.07,55520
No,No,70.98,40010
No,Yes,115.54,12670
No,No,90.93,42450
No,No,1230.42,51710
No,No,201.55,27920
No,Yes,1562.84,10350
No,Yes,622.89,11010
No,Yes,1142.12,9180
No,Yes,1796.26,21120
No,No,947.42,38500
No,No,419.44,34330
No,No,1660.82,53750
No,No,391.24,24970
No,No,613.43,34740
No,Yes,1024.10,18660
No,Yes,0,25970
No,No,1252.95,33870
No,No,708.83,55670
No,No,266.64,16510
No,Yes,1339.36,19490
No,No,781.59,49450
No,Yes,1021.37,19030
No,No,948.49,40730
No,Yes,1312.93,20200
No,No,0,50860
No,No,0,24560
No,No,0,30920
No,Yes,859.33,13990
No,No,646.15,45690
Yes,Yes,1707.91,10590
No,No,133.67,28490
No,Yes,80.59,16140
No,Yes,631.60,17840
No,No,1236.61,40660
No,No,742.58,40080
No,Yes,97.03,12730
No,No,1054.22,50900
No,No,959.60,29850
No,No,1258.85,33680
No,No,443.24,36540
No,No,1605.10,26120
No,No,0,25960
No,No,832.64,25100
No,Yes,443.53,19630
No,No,817.43,40080
No,No,881.66,43720
No,No,1154.09,48400
No,Yes,961.57,9680
No,Yes,516.12,17530
No,Yes,1357.41,22570
No,No,1036.03,35260
No,Yes,900.60,17800
No,No,1516.32,46390
No,Yes,1015.20,22200
No,No,232.10,40360
No,Yes,1082.28,19450
No,No,682.43,17990
No,Yes,1218.13,18140
No,No,802.41,47440
No,No,143.85,38010
No,No,1087.46,32900
No,Yes,895.75,14750
No,No,660.28,58950
No,Yes,630.97,19080
No,Yes,1648.96,15400
No,Yes,975.95,18240
No,No,297.00,22950
No,No,0,47320
No,No,0,32620
No,Yes,789.21,18230
Yes,No,1804.03,31310
No,No,1266.11,29690
No,Yes,135.18,20410
No,No,28.81,36940
No,Yes,0,15340
No,No,750.69,49150
No,No,805.30,57380
No,No,1093.80,29570
No,No,483.96,44330
No,Yes,1534.39,19590
No,No,1349.18,48010
No,No,158.57,20570
No,Yes,172.46,25850
No,No,1280.76,53670
No,Yes,213.17,22810
No,No,0,32240
No,Yes,704.01,13900
No,No,708.81,38290
No,No,257.39,49470
No,Yes,1188.74,22860
No,No,0,62880
No,No,1321.70,45580
No,Yes,882.58,17740
No,Yes,1418.13,11960
No,No,1245.42,36890
No,No,339.52,58740
No,Yes,824.54,29080
No,No,241.44,30170
No,No,1510.79,47680
No,No,396.64,52170
No,Yes,1633.69,15780
No,No,650.41,47120
No,Yes,1382.43,15680
No,No,613.48,24360
No,No,1424.35,37840
No,Yes,914.10,19050
No,Yes,802.00,15460
No,Yes,539.67,18850
No,No,337.57,52190
No,Yes,813.49,16680
No,No,477.88,39830
No,No,342.19,32150
No,No,840.36,45310
No,Yes,865.56,16640
No,No,645.59,44400
No,No,1755.38,35030
No,No,498.74,51690
No,No,587.78,30850
No,Yes,824.61,10060
No,No,0,32660
No,Yes,880.80,20430
No,No,917.12,48220
No,Yes,789.71,19280
No,No,763.85,52930
No,Yes,1062.16,17380
No,No,944.33,44440
No,No,877.50,25580
No,No,1344.10,41410
Yes,Yes,1543.09,18300
No,No,380.31,38860
No,Yes,1176.89,23630
No,No,733.19,34520
No,No,348.99,48940
No,Yes,1380.08,19240
No,No,943.16,40360
No,No,1248.88,51890
No,No,713.22,51100
No,No,834.23,36720
No,No,0,26200
No,No,1558.88,37480
No,No,1362.18,37730
No,No,1581.52,45720
No,No,324.85,39750
No,No,1112.73,47520
No,No,379.59,32570
No,No,1549.09,26230
No,No,1489.41,46730
No,No,548.20,41640
No,No,561.96,37630
No,No,595.48,34470
No,No,267.51,27360
No,Yes,1793.30,21030
No,Yes,1773.15,10170
No,No,618.86,37330
No,No,205.64,37760
No,No,1011.43,36360
No,No,0,38130
No,Yes,1154.43,15220
No,No,292.51,43700
No,Yes,1106.94,19230
Yes,No,1665.95,30070
No,Yes,968.67,22210
No,No,797.24,39920
No,Yes,636.89,18620
No,Yes,1011.33,14100
No,No,791.03,47300
No,No,942.47,36960
No,No,706.97,46160
No,No,767.43,55990
No,No,568.84,37070
No,Yes,1271.56,18990
No,No,938.93,44280
No,No,1012.19,34630
No,No,1355.49,18930
No,No,912.04,43480
No,No,289.59,25720
Yes,Yes,2035.86,14430
No,Yes,1602.17,17850
No,Yes,0,20060
No,Yes,1202.39,14030
No,No,554.70,28160
No,Yes,229.98,2540
No,No,768.97,35500
No,Yes,1211.04,16890
No,No,0,35640
No,No,0,27530
No,Yes,859.93,15960
No,No,0,47550
No,Yes,1471.53,14950
No,Yes,582.87,17730
No,Yes,463.11,25850
No,No,986.15,48940
No,No,534.74,29680
No,No,1402.69,39650
No,No,967.74,46270
No,No,884.02,36880
No,Yes,455.69,19080
No,No,0,66910
No,No,1141.23,37910
No,No,365.23,21350
No,No,38.37,33570
No,Yes,731.97,13590
No,No,1006.71,47780
No,No,1107.80,34560
No,No,777.53,45670
No,No,1501.42,35390
No,Yes,862.06,12080
No,Yes,12.18,19910
No,No,0,30200
No,No,1820.32,31300
No,No,576.06,40170
No,No,837.75,31010
No,No,399.79,34870
No,Yes,578.75,20900
No,No,1106.54,46560
No,No,390.74,38440
No,Yes,274.19,15420
No,No,1476.87,42270
No,No,578.46,20300
No,No,1064.14,28190
No,No,1598.30,46400
No,No,863.45,33520
No,No,1157.75,32570
No,Yes,406.38,24080
No,No,309.24,44200
No,No,943.95,28350
No,No,1206.79,42910
No,Yes,1448.06,21020
No,No,1166.59,26970
No,No,800.30,61280
No,No,714.92,31030
No,No,471.25,28410
No,No,662.16,30390
No,No,770.43,53390
No,No,597.32,55490
No,No,140.85,48180
No,No,1035.55,29420
No,Yes,784.10,11560
No,Yes,442.02,17070
No,No,888.08,54070
No,No,704.20,44770
No,Yes,1016.45,15090
No,No,1036.46,42910
No,Yes,1060.22,22790
No,No,1243.92,38070
No,Yes,1291.97,26570
No,No,69.25,20220
No,No,196.38,29930
No,Yes,709.02,18300
No,No,1034.14,52100
No,No,868.00,50540
No,No,1236.00,48800
No,No,12.91,46280
No,Yes,826.45,21340
No,Yes,703.99,20750
No,Yes,817.12,13150
No,No,1210.01,45060
No,Yes,766.40,22290
No,No,1643.65,33980
No,No,1053.01,54000
No,No,240.07,41500
No,No,62.65,44440
No,Yes,924.23,11190
No,Yes,944.07,26020
No,No,295.78,51830
Yes,No,2085.58,35650
No,No,474.35,58060
No,No,504.72,54290
No,No,292.38,33960
No,No,593.28,40220
No,No,76.06,50050
No,Yes,1270.09,16800
No,No,877.34,40680
No,Yes,932.56,20980
No,No,279.96,30260
No,No,1155.17,40390
No,No,0,45430
No,Yes,1216.76,23370
No,Yes,0,15270
No,Yes,728.54,22890
No,No,0,48360
No,Yes,643.56,21320
No,No,973.08,27280
No,Yes,1177.95,14380
No,No,196.98,41310
No,No,1526.26,44840
No,No,441.39,56060
No,No,1004.64,56530
No,No,1258.06,36640
No,No,1563.99,37110
No,No,367.35,29900
No,Yes,1222.76,18270
No,Yes,1582.20,19680
No,No,647.13,32720
No,No,0,33140
No,Yes,1585.33,15070
No,Yes,837.97,25770
No,Yes,686.78,10540
No,No,947.84,37890
No,Yes,1205.05,18100
No,No,1254.13,37450
No,No,949.12,50520
No,No,530.24,27610
No,No,833.68,54550
No,No,638.46,36170
Yes,Yes,2387.31,28290
No,Yes,839.39,21380
No,No,294.63,63280
No,No,1178.17,34720
No,No,1149.72,57890
No,No,909.76,42460
No,Yes,1391.50,18530
No,Yes,1029.24,18010
No,No,1504.59,30770
No,No,1276.48,35120
No,No,874.91,25020
No,No,1104.68,51510
No,No,0,47050
No,No,698.80,37460
No,No,1055.41,33940
No,Yes,131.28,14490
No,No,795.90,44180
No,No,611.95,39290
No,No,1670.42,41400
No,No,1423.14,33590
No,No,770.64,29620
No,No,1315.46,29800
No,No,599.20,53210
No,No,584.35,34120
No,No,27.27,51650
No,No,65.72,32330
No,No,1338.46,23900
No,Yes,1120.42,16150
No,No,726.02,41990
No,No,1353.58,44370
No,No,531.74,38120
No,No,1824.64,36760
No,Yes,894.46,14030
No,Yes,1275.53,16440
No,No,550.62,19100
No,Yes,270.39,13150
No,No,651.99,35260
No,No,718.35,50760
No,No,1008.94,31230
No,Yes,1510.74,13390
No,No,1393.36,38370
No,No,586.58,45510
No,No,793.41,45870
No,No,285.91,43260
No,Yes,550.38,20320
No,Yes,716.49,16780
No,No,383.68,39940
No,No,252.33,38430
No,No,1164.10,40160
No,No,1080.18,38390
No,No,906.47,47100
No,No,457.80,26560
No,No,1215.86,42760
No,No,217.36,45080
No,Yes,1076.72,12500
No,Yes,58.06,23630
No,No,1615.22,55210
No,Yes,1119.00,22810
No,No,671.95,17620
No,No,634.21,38670
No,Yes,831.81,16160
No,Yes,373.06,22010
No,No,776.45,58480
No,Yes,1031.30,12190
No,No,910.67,43790
No,No,1010.80,42160
No,No,1090.35,48280
No,No,1008.55,53800
No,No,0,50120
No,Yes,1824.36,20070
No,No,730.16,44410
No,No,991.13,30940
No,No,1356.51,35030
No,No,576.63,41690
No,No,1334.55,43380
No,No,1487.66,47620
No,No,778.69,48550
No,No,444.19,37590
No,No,1023.36,34630
No,Yes,153.40,17840
No,No,661.76,47160
No,No,312.61,34910
No,No,645.37,30100
No,No,0,49010
No,No,779.61,22970
No,Yes,569.49,19750
No,No,1287.76,38500
No,No,1177.81,32290
No,No,795.36,25700
No,No,877.03,24900
No,No,823.99,36700
No,No,1019.21,52080
No,No,942.73,38900
No,No,6.78,40140
No,No,0,55150
No,Yes,1420.20,22790
No,Yes,1254.66,18180
No,No,0,37790
No,No,1140.07,33600
No,Yes,747.95,19860
No,No,1598.60,48710
No,No,1226.37,21420
No,No,929.81,50610
No,No,807.40,43850
No,No,345.36,56960
No,No,982.45,42900
No,Yes,1067.67,14480
No,No,742.54,39010
No,No,1060.17,30940
No,No,523.75,33760
No,No,697.98,29790
Yes,Yes,1500.89,15800
No,Yes,1682.89,14370
No,Yes,1264.04,6460
No,No,1352.46,34240
No,No,376.87,50670
No,No,629.56,37250
No,Yes,709.41,11350
No,No,541.34,42330
No,No,421.17,42720
No,No,500.80,47910
No,No,0,41660
No,No,1089.36,43360
No,No,603.84,56460
Yes,No,1165.53,50340
No,No,1457.62,43150
No,No,390.05,27100
No,No,584.14,35510
No,No,901.01,13490
No,Yes,1380.09,14140
No,No,1146.06,39900
No,No,1058.02,43320
No,No,474.37,35980
No,Yes,969.14,22420
No,Yes,1616.73,12550
No,No,1185.02,33290
No,No,472.63,41250
No,No,1257.62,30960
No,No,640.91,37300
No,No,105.74,42440
No,No,672.42,25940
No,No,568.66,45180
No,Yes,368.19,26670
No,No,1546.54,57260
No,No,230.22,28930
No,No,815.05,34200
No,Yes,164.30,17990
No,Yes,1785.79,15290
No,No,661.05,27870
No,Yes,979.87,13520
No,Yes,778.24,23800
No,Yes,190.61,21740
No,No,523.81,45280
No,No,175.69,40040
No,No,977.94,38360
No,No,837.69,44260
No,Yes,1436.32,27650
No,No,638.22,53810
No,No,714.01,48630
No,No,738.25,36080
No,No,507.52,58020
No,Yes,1033.83,15810
No,Yes,19.73,20510
No,No,434.70,48890
No,No,0,45330
No,No,629.76,53060
No,Yes,522.76,26900
No,Yes,294.65,11680
No,Yes,469.42,14640
No,No,838.43,40900
No,No,1407.63,52740
No,Yes,1417.22,16050
No,No,363.99,38110
No,Yes,128.25,17070
Yes,Yes,1894.16,28320
No,Yes,1624.79,10620
No,No,645.94,46400
No,No,684.08,38180
No,No,1168.28,46900
No,No,766.12,51610
No,Yes,738.26,14060
No,No,525.89,45530
No,No,631.25,38870
No,No,0,65940
No,No,913.91,53800
No,No,578.75,60490
No,No,1503.84,43880
No,Yes,555.26,11580
Yes,Yes,1289.24,13620
No,No,545.56,35710
No,No,1112.34,33460
No,No,564.90,35820
No,No,591.84,38870
No,Yes,908.12,22080
Yes,Yes,2169.19,18190
No,Yes,1108.10,15330
No,No,0,27160
No,No,957.59,35330
No,No,448.03,29530
No,No,1188.07,40700
No,Yes,1223.88,19520
No,Yes,959.96,18410
No,No,734.72,35010
No,No,0,47620
No,No,1423.28,48910
No,No,217.16,26970
No,No,672.04,36700
No,No,830.76,45950
No,No,652.52,58750
No,No,533.98,64930
No,Yes,1626.63,17720
No,No,1382.12,30390
No,No,0,38660
No,No,1165.68,38110
No,No,1190.42,34190
No,No,435.21,39500
No,Yes,1382.42,17160
No,No,1265.95,27230
No,No,1303.62,40010
No,Yes,240.10,21140
No,Yes,326.43,21100
No,No,562.80,41930
No,No,531.48,28830
No,Yes,594.54,17870
No,No,745.73,60180
No,Yes,1218.63,29890
No,No,266.46,37620
Yes,No,1899.54,46070
No,Yes,717.60,13720
No,No,507.33,56070
No,Yes,1422.77,14040
No,No,1253.69,37640
No,No,1301.65,38910
Yes,Yes,2415.31,17420
No,Yes,1367.01,11290
No,No,449.05,31620
No,No,505.69,31970
No,No,1150.45,54980
No,No,981.49,30380
No,Yes,612.26,16270
No,Yes,1122.29,20350
No,No,59.79,36000
No,Yes,1353.01,26200
No,No,1232.23,50730
No,No,924.01,28800
No,No,517.82,65500
No,Yes,1795.71,12540
No,No,983.56,26050
No,Yes,990.35,18990
No,No,1529.51,52680
No,No,272.87,44240
No,Yes,636.20,19460
Yes,No,1751.34,38380
No,No,721.92,46260
No,No,511.41,25760
No,No,563.68,41350
No,No,1110.72,47220
No,No,403.03,48870
No,No,430.09,29240
No,No,278.47,33180
Yes,No,2228.47,27430
No,No,1201.78,30090
No,No,490.79,44680
No,Yes,792.85,8690
No,No,870.66,37180
No,Yes,1149.20,11330
No,No,493.53,49730
No,Yes,874.34,10840
No,No,1097.94,23220
No,No,976.14,29990
No,No,1373.72,43120
No,Yes,1282.76,22360
No,No,636.72,45640
No,No,1823.23,24740
No,No,605.86,34510
No,No,0,27880
No,No,491.52,37120
No,No,248.36,37860
No,No,1036.50,37150
No,No,1130.89,35230
No,Yes,1048.53,10390
No,No,1251.88,50170
Yes,No,1578.84,61220
No,No,0,40340
No,No,1531.96,33590
No,No,935.46,30900
No,Yes,1056.18,16870
No,Yes,1060.77,21430
No,No,253.85,41470
No,No,323.12,36110
No,No,1051.22,31740
No,Yes,925.94,14250
No,Yes,831.24,13700
No,No,280.83,56560
No,Yes,1092.34,20460
No,No,702.27,49700
No,No,663.09,32750
No,No,224.74,25380
No,No,1108.68,60720
No,Yes,0,20070
No,No,352.79,36750
No,Yes,1390.18,21730
No,No,599.64,32470
No,No,514.54,45760
No,Yes,484.89,15880
No,No,278.72,49230
No,No,661.05,35800
No,No,1110.29,27500
No,No,1306.25,29370
Yes,Yes,1966.06,17730
No,No,588.56,33220
No,No,0,42860
No,No,1289.60,35160
No,No,1054.27,50790
No,No,0,43510
No,No,897.80,37890
No,Yes,673.78,13340
No,No,636.33,49480
No,No,412.07,48340
Yes,No,1898.32,61010
No,No,1606.40,27380
No,No,0,41040
No,Yes,0,20150
No,No,486.38,53050
No,No,1738.11,38820
No,No,0,62740
No,No,355.93,34730
No,No,0,24810
No,Yes,1925.98,20440
No,No,819.11,55710
No,Yes,588.75,24010
No,No,975.57,28800
No,No,127.16,40720
No,No,713.43,48170
No,No,737.72,48990
No,Yes,687.06,14050
No,No,444.51,41950
No,No,1061.28,32830
No,No,1425.49,37180
No,Yes,638.26,21280
No,Yes,1101.44,20930
No,No,888.24,41480
No,No,951.20,20610
No,Yes,1152.09,15850
No,No,883.16,27120
No,No,1126.98,47370
No,No,742.82,34350
No,Yes,1532.11,19460
No,Yes,266.76,28450
No,Yes,310.43,16470
No,No,1702.30,46580
No,No,649.78,39650
No,No,648.32,45390
No,No,995.27,24780
No,No,330.07,45750
No,No,1358.57,20700
Yes,No,1166.79,30360
No,No,671.66,26140
No,Yes,484.08,12040
No,No,1404.62,47710
No,No,617.00,54480
No,Yes,964.62,21430
No,No,466.57,24710
No,No,618.80,25920
No,No,1310.95,28970
No,No,123.92,28310
No,No,786.26,45300
No,No,748.21,46980
Yes,Yes,2124.48,12650
No,Yes,326.39,16980
No,Yes,474.88,14980
No,No,59.96,24880
No,No,1611.33,47890
No,No,545.60,27230
No,No,0,46590
No,No,1249.35,52230
No,Yes,587.87,18440
Yes,No,1302.73,43680
No,Yes,908.37,27410
No,Yes,1252.13,13860
No,No,277.16,37170
No,No,623.57,57480
No,No,943.19,41760
No,Yes,1815.44,18910
No,Yes,927.42,20490
Yes,Yes,2008.03,18600
No,No,1028.23,31290
No,No,408.23,51130
No,No,1355.43,42630
No,Yes,376.77,16040
No,No,856.47,69120
No,No,1110.74,43990
No,No,437.81,27850
No,No,1013.70,60570
Yes,No,1922.82,56200
No,No,1066.79,49620
No,No,465.55,33990
No,No,899.48,36360
No,No,592.80,34350
No,No,164.00,42690
No,No,0,62970
No,Yes,1335.13,17040
No,Yes,1549.61,11920
No,No,1441.07,33850
No,No,1157.65,39080
No,No,899.46,36330
No,No,331.16,44750
No,No,439.20,42130
No,No,489.71,27040
No,No,652.99,37140
No,No,206.82,49220
No,Yes,932.48,14950
No,No,1098.23,42330
No,Yes,1959.59,19670
No,Yes,1706.95,20800
No,No,1255.88,55970
No,No,537.95,54480
No,No,349.16,38840
No,No,167.60,20150
No,No,1612.46,42280
No,No,551.25,48000
No,Yes,1521.49,16830
No,No,826.96,61360
No,No,770.08,38010
No,Yes,1109.42,10970
No,No,559.32,53540
No,Yes,390.27,9050
No,No,1567.02,42250
No,No,170.26,62700
No,No,528.85,46220
No,No,0,49470
No,Yes,1000.41,14070
No,No,538.74,34830
No,No,435.40,35160
No,No,110.66,64520
No,No,153.56,49400
No,Yes,856.62,19050
No,Yes,934.25,20740
No,No,783.12,36510
No,Yes,1271.11,17450
No,No,910.75,33660
No,No,748.65,40610
No,No,668.94,42020
No,Yes,1061.93,18580
No,No,766.00,45150
No,Yes,1396.23,15830
No,No,265.43,34040
Yes,No,2080.93,34490
No,No,324.69,47100
No,Yes,1135.01,24000
Yes,No,1731.68,56220
No,Yes,1133.23,16740
No,No,782.64,37490
No,Yes,745.56,12890
No,No,1444.36,51150
No,Yes,1340.52,19310
Yes,No,1903.66,41170
No,No,317.90,42200
No,No,901.31,43240
No,No,527.98,39950
No,Yes,915.65,16880
No,No,1143.55,42690
Yes,No,1488.55,22250
No,No,1024.23,27100
No,No,619.90,29210
No,No,1007.24,34890
No,No,0,42570
No,No,1342.04,51440
No,Yes,1478.16,22560
No,No,149.35,52310
No,No,279.72,52000
No,No,869.80,49310
No,No,1493.28,56360
No,No,1127.82,43340
No,No,924.69,38670
No,No,311.50,43370
No,No,696.51,28610
No,Yes,295.63,25450
No,No,464.76,17860
No,Yes,750.41,17290
No,No,890.40,52940
No,No,0,37450
No,Yes,340.69,12350
No,No,724.24,43390
No,No,979.85,40370
No,No,33.45,30510
No,No,1203.73,40960
No,No,735.73,23220
No,Yes,884.91,27200
No,No,825.84,48210
No,Yes,1734.58,14160
No,Yes,670.49,16510
No,No,874.84,36700
No,No,0,40020
No,No,827.35,43830
No,No,1508.84,31730
No,Yes,0,19090
No,Yes,914.51,7520
No,No,302.96,51030
No,Yes,275.48,13440
No,No,589.55,42330
No,No,1120.26,45150
No,Yes,1416.96,11100
No,No,1270.17,44180
No,No,848.23,35180
No,No,560.96,43250
No,No,619.61,45460
No,No,1197.57,18440
Yes,No,1585.72,52270
No,No,478.36,28260
No,No,1144.91,41370
No,No,778.75,58860
No,Yes,1675.42,13700
No,No,680.76,56750
No,Yes,1113.57,17590
No,No,339.35,38090
No,No,908.87,55610
No,No,480.78,11190
No,Yes,874.58,17370
No,No,0,42510
No,No,1353.52,52040
No,No,1073.95,28840
No,Yes,1402.28,13270
No,No,759.14,24470
No,No,4.10,38320
No,No,194.55,38790
No,Yes,597.59,16520
No,Yes,1067.78,18640
No,No,379.29,43090
No,Yes,583.59,15170
No,No,465.52,30790
No,No,1144.12,33620
No,Yes,1025.08,29010
No,No,203.95,63630
No,Yes,439.58,17820
No,No,0,40570
No,No,720.85,42750
No,No,1385.79,44980
No,No,1127.50,64610
No,No,808.00,36070
No,Yes,280.24,25300
No,No,378.72,15730
No,Yes,885.51,21210
No,No,0,37480
No,Yes,1006.94,19060
No,No,490.64,37990
No,Yes,141.02,11310
No,No,761.88,46420
No,No,1787.60,33310
No,No,964.54,33900
No,No,931.57,52700
No,No,10.05,37670
No,Yes,1971.66,22040
No,Yes,1171.51,17640
No,No,784.38,44920
No,No,503.49,20470
No,Yes,295.48,17320
Yes,Yes,1475.05,20210
No,No,950.47,38990
No,Yes,1083.70,17520
No,Yes,1334.66,18060
Yes,No,1332.38,53510
No,No,314.54,43440
No,Yes,683.18,12360
No,Yes,1087.41,17060
No,No,443.63,46610
No,No,426.55,34190
No,No,532.98,55840
No,Yes,1378.21,20110
No,No,470.03,29300
No,Yes,470.30,10060
No,No,98.39,25300
No,No,400.05,30160
No,No,1265.72,20810
No,Yes,700.33,15900
No,No,1266.77,47990
No,No,116.35,30760
No,Yes,1023.63,15730
No,No,823.66,24530
No,Yes,1328.67,13380
No,No,1032.18,46540
No,Yes,1093.63,14790
No,No,587.76,39610
No,No,1379.18,48250
No,Yes,444.02,23690
No,Yes,597.60,21290
No,No,738.19,35130
No,No,563.49,47140
No,Yes,1518.71,23870
No,No,1610.71,30090
No,Yes,542.38,14290
No,No,586.16,31460
No,Yes,648.88,24450
No,Yes,913.04,17130
No,No,1650.89,43470
No,No,758.50,37480
No,No,1955.55,45500
No,No,446.96,27620
No,No,874.94,39800
No,Yes,1124.56,28930
No,No,0,29420
No,No,184.56,44020
No,No,1133.79,39860
No,Yes,1148.92,19710
No,No,1040.27,35630
No,No,753.96,21500
No,No,818.49,34900
No,Yes,1228.65,17460
No,Yes,16.41,24290
No,No,763.90,64960
No,Yes,1667.30,15610
No,No,637.49,48940
No,No,911.13,31260
No,No,125.05,50050
No,Yes,548.27,15300
No,No,795.03,34160
No,No,649.15,37010
No,No,0,51750
No,No,292.33,41030
No,No,1285.99,31060
No,No,845.85,44480
No,Yes,1660.11,26830
No,No,610.56,36140
No,Yes,1137.42,16170
No,Yes,1115.76,11490
No,No,302.16,28800
No,No,1074.14,35050
No,No,510.96,32150
No,No,974.41,43860
No,No,46.18,42530
No,No,1731.60,58070
No,No,1429.39,31380
No,No,503.51,62110
Yes,Yes,2179.22,15300
No,No,18.78,24690
No,No,1047.13,46000
No,Yes,1049.60,11130
No,No,1372.93,35460
No,No,958.32,28140
No,No,826.63,47350
No,No,1005.16,42120
No,No,1132.86,25400
No,No,618.61,45150
No,No,1073.82,47930
No,No,1108.80,39670
No,No,583.71,42590
No,No,835.53,23160
No,No,698.67,29580
No,No,929.57,40440
No,No,916.59,41430
No,No,1324.19,10890
No,Yes,1219.37,11360
No,No,265.29,45820
No,Yes,1255.42,19880
No,No,1524.43,18870
No,No,326.39,30150
No,No,1821.00,54050
No,Yes,1357.42,25730
No,No,1187.47,53310
No,Yes,925.90,20950
No,No,1451.78,27850
No,No,32.06,38780
No,No,685.19,36010
No,No,1071.89,54790
No,No,874.49,50070
No,No,926.30,38090
No,No,1235.64,53170
No,Yes,1155.50,24840
Yes,No,1360.38,28990
No,No,234.99,40390
No,No,854.69,26670
No,Yes,1405.65,19700
No,Yes,1161.02,13910
No,No,329.34,20700
No,No,1541.32,32500
No,No,1456.65,59360
No,No,0,24560
No,No,83.08,45440
No,No,95.89,31430
No,No,674.80,47650
No,No,917.78,44460
No,Yes,759.80,14210
No,No,379.06,14790
Yes,Yes,2004.39,18860
No,No,1469.60,43430
No,No,200.27,36920
No,No,843.42,39510
No,No,676.76,34400
No,No,46.09,42020
No,No,542.84,48890
No,No,89.90,30000
No,No,908.18,37310
No,No,0,46300
No,Yes,1326.84,20790
