Country,Continent,RegionUN,SubregionUN,year_BFcode,BFcode_status1,year_RTF,RTF_level1,year_maternityprotection,cat_maternityprotection,year_wheatfortification,status_wheatfortification,year_policyrank,policyrank_1to83,year_NCDpolicy,hypertension_policy,diabetes_policy,year_SUN,SUN_Process1,SUN_Process2,SUN_Process3,SUN_Process4,SUN_TotalAccomplished
Suriname,Americas,Latin America and the Caribbean,South America,2014,,2003,High,2011,,,Mandatory,2012 - 2016,64,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Swaziland,Africa,Africa,Southern Africa,2014,Voluntary,2003,,2011,Partial,,No fortification,2013 - 2022,83,2010,"Available, partially implemented","Available, not implemented",2014,21,24,27,19,23
Sweden,Europe,Europe,Northern Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Switzerland,Europe,Europe,Western Europe,2014,Some provisions voluntary,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Syria,Asia,Asia,Western Asia,2014,Many provisions law,2003,Medium high,2011,,2004,No fortification,,,2010,"Available, not implemented","Available, fully implemented",2014,,,,,
Tajikistan,Asia,Asia,Central Asia,2014,Many provisions law,2003,Medium high,2011,Yes,,Planning,2007 - 2015,19,2010,,"Available, partially implemented",2014,33,28,27,19,27
Thailand,Asia,Asia,South-Eastern Asia,2014,Some provisions voluntary,2003,Medium low,2011,Partial,,No fortification,2012 - 2016,70,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
The former Yugoslav Republic of Macedonia,Europe,Europe,Southern Europe,2014,Few provisions law,2003,Medium high,2011,,,Planning,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Timor-Leste,Asia,Asia,South-Eastern Asia,2014,Measure drafted awaiting final approval,2003,Medium,2011,,,No fortification,2011 - 2030,41,2010,Not available,Not available,2014,,,,,
Togo,Africa,Africa,Western Africa,2014,Measure drafted awaiting final approval,2003,Medium,2011,Yes,2012,Mandatory,2009Ð2011,8,2010,Not available,Not available,2014,13,26,23,19,20
Tonga,Oceania,Oceania,Polynesia,2014,,2003,,2011,,,,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,2014,Few provisions law,2003,Medium,2011,Partial,,Mandatory,2012 - 2033,81,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Tunisia,Africa,Africa,Northern Africa,2014,Many provisions law,2003,,2011,No,,No fortification,2010 - 2014,83,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Turkey,Asia,Asia,Western Asia,2014,Few provisions law,2003,Medium,2011,Yes,,Planning,2007 - 2013,83,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Turkmenistan,Asia,Asia,Central Asia,2014,Few provisions law,2003,Medium,2011,,1996,Mandatory,,,2010,,,2014,,,,,
Tuvalu,Oceania,Oceania,Polynesia,2014,,2003,,2011,,,Planning,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Uganda,Africa,Africa,Eastern Africa,2014,Law,2003,High,2011,No,2011,Mandatory,2011Ð2015,29,2010,"Available, partially implemented",Not available,2014,37,34,41,43,39
Ukraine,Europe,Europe,Eastern Europe,2014,No information,2003,High,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
United Arab Emirates,Asia,Asia,Western Asia,2014,Few provisions law,2003,Medium low,2011,No,,Voluntary,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
United Kingdom,Europe,Europe,Northern Europe,2014,Many provisions law,2003,,2011,No,1998,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
United Republic of Tanzania,Africa,Africa,Eastern Africa,2014,Law,2003,Medium high,2011,Partial,2011,Mandatory,2025,83,2010,"Available, partially implemented","Available, fully implemented",2014,52,54,42,40,47
United States of America,Americas,Northern America,Northern America,2014,No action,2003,,2011,No,1993,Mandatory,,,2010,,,2014,,,,,
Uruguay,Americas,Latin America and the Caribbean,South America,2014,Law,2003,Medium low,2011,Partial,2006,Mandatory,,,2010,Not available,Not available,2014,,,,,
Uzbekistan,Asia,Asia,Central Asia,2014,Few provisions law,2003,Medium,2011,Yes,2005,Mandatory,2007 - 2015,40,2010,Not available,Not available,2014,,,,,
Vanuatu,Oceania,Oceania,Melanesia,2014,,2003,Medium,2011,Partial,,Planning,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Venezuela,Americas,Latin America and the Caribbean,South America,2014,Law,2003,Medium high,2011,Yes,1993,Mandatory,2013 - 2019,53,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Vietnam,Asia,Asia,South-Eastern Asia,2014,Many provisions law,2003,Medium low,2011,Yes,2008,Planning,2006Ð2010,52,2010,Not available,Not available,2014,34,20,23,28,26
Yemen,Asia,Asia,Western Asia,2014,Law,2003,Low,2011,No,2000,Mandatory,2006Ð2010,46,2010,Not available,Not available,2014,63,54,42,21,45
Zambia,Africa,Africa,Eastern Africa,2014,Many provisions law,2003,,2011,Partial,,No fortification,2007Ð2030,17,2010,"Available, partially implemented","Available, partially implemented",2014,61,64,56,49,58
Zimbabwe,Africa,Africa,Eastern Africa,2014,Law,2003,,2011,Yes,,No fortification,2011 - 2015,72,2010,"Available, partially implemented","Available, partially implemented",2014,33,58,21,40,38
