Country,Continent,RegionUN,SubregionUN,year_U5Anthro,stuntingRATE,wastingRATE,severewastingRATE,overweightRATE,stuntingNUMBER,wastingNUMBER,overweightNUMBER,year_LBW,LBWrate,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolescentAnthro,overweight_adolescent,obesity_adolescent,year_WRA_thin_short,BMIbelow18_WRA_thin,Heightbelow145_WRA_short,year_adult_OWOB,OWbothsex,OWmale,OWfemale,OBbothsex,OBmale,OBfemale,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitaminAdef,rate_vitaminAdef,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,year_stunt_waste_OW,WHAtarget_Stunting1,WHAtarget_Wasting1,WHAtarget_Overweight1,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
France,Europe,Europe,Western Europe,,,,,,,,,1998,,,,,,,,,,,,.,,,.,,,2008,45.9,52,40,15.6,16.8,14.6,2011,18.9,2680.2,.,,1996,Mild iodine deficiency,2008,5.7,7.2,4.3,2008,35.7,42.3,29.3,2008,62,63.5,60.2,,,,,2011,Currently off course
Gabon,Africa,Africa,Middle Africa,2012,17.5,3.4,1.3,7.7,41.6,8.1,18.3,2000,14,2000,26.3,2012,17.5,,,,,,,.,,,2012,5.3,1,2008,44.1,36.5,51.6,15,8.4,21.5,2011,50.8,201,.,16.9,2001,Optimal iodine nutrition,2008,9.5,9.1,9.9,2008,45.6,48.2,42.9,2008,42.5,40.5,44.2,2012,Currently off course,Currently on course,Currently off course,2011,Currently off course
Gambia,Africa,Africa,Western Africa,2010,23.4,9.5,2.1,1.9,72.2,29.3,5.9,2010,10,1996,36.1,2000,24.1,2006,27.6,2010,23.4,,,.,,,.,,,2008,28,14.9,40.9,8.5,2.3,14.4,2011,45.3,201.6,1999,64,1999,Moderate iodine deficiency,2008,10.6,9.9,11.3,2008,45.7,48,43.3,2008,20.3,18.1,22.5,2010,Currently off course,Currently off course,Currently on course,2011,Currently off course
Georgia,Asia,Asia,Western Asia,2009,11.3,1.6,0.6,19.9,33.6,4.8,59.2,2011,5,1999,16.1,2005,14.7,2009,11.3,,,,,.,,,.,,,2008,53,50.7,54.8,21.2,15.9,25.7,2011,27.5,310.4,.,30.9,1998,Mild iodine deficiency,2008,11.5,11.9,11.1,2008,46.5,49.9,43.5,2008,37.1,35.6,38,2009,Currently on course,Currently on course,Currently off course,2011,Currently off course
Germany,Europe,Europe,Western Europe,2005,1.3,1,0.1,3.5,45,34.6,121.1,1999,7,2005,1.3,,,,,,,,,.,,,.,,,2008,54.8,62.8,46.6,21.3,23.1,19.2,2011,17.9,3317.9,.,,1999,Optimal iodine nutrition,2008,8,9.8,6.3,2008,39.7,44.8,34.3,2008,65.6,69.6,61.4,2005,,Currently on course,,2011,Currently off course
Ghana,Africa,Africa,Western Africa,2011,22.7,6.2,1.4,2.6,823.6,224.9,94.3,2011,11,1999,31.3,2003,35.6,2006,28.1,2008,28.6,2011,22.7,2007,6.9,0.7,2008,7.7,1.2,2008,30.4,24.2,36.7,8,4.4,11.7,2011,56.4,3451,1997,75.8,1994,Mild iodine deficiency,2008,10.1,9.9,10.3,2008,42.1,43,41.1,2008,18.1,15.5,20.6,2011,Currently off course,Currently off course,Currently off course,2011,Currently off course
Greece,Europe,Europe,Southern Europe,,,,,,,,,1999,8,,,,,,,,,,,.,,,.,,,2008,49.1,56.6,41.3,17.5,18.8,16.1,2011,20.4,539.9,.,,,.,2008,8.7,9.5,7.9,2008,36.1,39.4,32.7,2008,48.2,50.1,45.9,,,,,2011,Currently off course
Grenada,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2004-2007,9,,,,,,,,,,,.,,,.,,,2008,56,49,62.2,24,14.9,32.1,2011,25.8,7.3,.,14.1,,.,2008,11.8,11.1,12.4,2008,41.8,45.3,38.3,2008,34.3,30.4,37.4,,,,,2011,Currently off course
Guatemala,Americas,Latin America and the Caribbean,Central America,2009,48,1.1,0.2,4.9,1066.6,24.4,108.9,2008-2009,11,1995,55.4,1999,53.1,2000,50,2002,54.3,2009,48,2009,27.1,7.5,1998-99,2,31.8,2008,53.9,48.6,58.6,20.7,13.8,26.7,2011,25.7,940.4,1995,15.8,1995,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,12.8,11.5,14,2008,36,39.9,32.7,2008,27.7,23.3,31.6,2009,Currently off course,Currently on course,Currently on course,2011,Currently off course
Guinea,Africa,Africa,Western Africa,2012,31.3,9.9,4.1,3.8,579.3,183.2,70.3,2005,12,2000,46.9,2005,39.3,2007,40,2011,35.8,2012,31.3,.,,,2012,10.7,1,2008,21.5,22.2,20.8,4.7,4.3,5.1,2011,48.4,1138.7,.,45.8,1999,Mild iodine deficiency,2008,8.7,8.8,8.6,2008,46.4,47.1,45.5,2008,18.7,16.4,20.6,2012,Currently off course,Currently off course,Currently on course,2011,Currently off course
Guinea-Bissau,Africa,Africa,Western Africa,2010,32.2,5.8,0.9,3.2,85.2,15.4,8.5,2010,11,2000,36.1,2006,47.7,2008,27.7,2010,32.2,,,.,,,.,,,2008,21.1,15.3,26.3,5.4,2.6,8.1,2011,44.6,165.2,.,54.7,,.,2008,8.9,8.6,9.1,2008,45.4,46.5,44.2,2008,17,15.4,18.4,2010,Currently off course,Currently off course,Currently on course,2011,Currently off course
Guyana,Americas,Latin America and the Caribbean,South America,2009,19.5,5.3,1.3,6.7,17.7,4.8,6.1,2009,14,1993,,1997,14,2000,13.8,2006,18.2,2009,19.5,.,,,2009,8.1,5.8,2008,44.7,34.6,56.6,16.9,8.3,27.1,2011,33.7,66.9,1997,4.1,1997,Optimal iodine nutrition,2008,11.8,10.8,13.1,2008,40.5,42.6,38.1,2008,23.3,20.3,26.7,2009,Currently off course,Currently off course,Currently off course,2011,Currently off course
Haiti,Americas,Latin America and the Caribbean,Caribbean,2012,21.9,5.2,1.2,3.6,272.8,64.8,44.9,2012,23,1990,40.1,1994,37.2,2000,28.3,2006,29.7,2012,21.9,.,,,2012,9.4,1,2008,32,35,29.4,8.4,8.4,8.4,2011,37.1,978.5,2005,32,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,9.6,9.6,9.6,2008,40.9,43.7,38.3,2008,22.6,19.4,24.5,2012,Currently off course,Currently off course,Currently off course,2011,Currently off course
Honduras,Americas,Latin America and the Caribbean,Central America,2012,22.7,1.4,0.3,5.2,224,13.8,51.3,2011-12,10,1994,45.7,1996,43.3,2001,34.5,2006,29.9,2012,22.7,2012,17.8,5.6,2011-12,3,8.7,2008,52.4,46.7,57.8,19.8,12.9,26.3,2011,18,363.7,1996,13.8,1994-7,Mild iodine deficiency,2008,8.5,8.6,8.4,2008,38.4,41.7,35.2,2008,30.1,26.5,33.3,2012,Currently off course,Currently on course,Currently off course,2011,Currently off course
Hungary,Europe,Europe,Eastern Europe,,,,,,,,,2001,9,,,,,,,,,,,.,,,.,,,2008,57.7,65.8,49.4,24.8,26.2,22.9,2011,23.5,559.7,.,7,,.,2008,9.5,10.6,8.5,2008,45.5,50,41,2008,55.2,55.4,54,,,,,2011,Currently off course
Iceland,Europe,Europe,Northern Europe,,,,,,,,,2001,4,,,,,,,,,,,.,,,.,,,2008,56.4,63.6,49.1,21.9,23.4,20.3,2011,17,13.4,.,,1998,Optimal iodine nutrition,2008,8.9,10.9,6.9,2008,33.8,40.2,27.3,2008,69.8,72.5,67,,,,,2011,Currently off course
India,Asia,Asia,Southern Asia,2006,47.9,20,6.8,1.9,58166.5,24286.6,2307.2,2005-2006,28,1992,61.9,1993,57.7,1997,45.9,1999,54.2,2006,47.9,2007,10.8,2.1,2005-06,39.9,11.9,2008,11.2,10,12.5,1.9,1.3,2.5,2011,48.1,153489.7,2001-03,62,1993-2002,Optimal iodine nutrition,2008,10.9,11.1,10.8,2008,35.2,36,34.2,2008,27.9,26.3,29.5,2006,Currently off course,Currently off course,Currently on course,2011,Currently off course
Indonesia,Asia,Asia,South-Eastern Asia,2013,36.4,13.5,6.7,11.5,8905.8,3303,2813.6,2007,9,2004,28.6,2005,,2007,40.1,2010,39.2,2013,36.4,2007,9.9,1.8,.,,,2008,20.7,16.1,25.3,4.7,2.5,6.9,2011,22.5,15308,.,19.6,1996,Mild iodine deficiency,2008,6.9,6.6,7.1,2008,41,42.7,39.2,2008,35.8,33.1,38.2,2013,Currently off course,Currently off course,Currently off course,2011,Currently off course
Iran,Asia,Asia,Southern Asia,2011,6.8,4,1.4,,470.2,276.6,,2006,7,1995,24.4,1998,20.4,2004,7.1,2011,6.8,,,.,,,.,,,2008,55,48.8,61,21.6,13.6,29.5,2011,28.1,6385.4,2001,0.5,1996,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,9.9,9.3,10.5,2008,39.4,41.4,37.3,2008,54.1,49.8,58.1,2011,Currently off course,Currently on course,,2011,Currently off course
Iraq,Asia,Asia,Western Asia,2011,22.6,7.4,3.6,11.8,1092.7,357.8,570.5,2011,13,2000,28.3,2003,33.7,2004,20,2006,27.5,2011,22.6,2012,25.3,7.9,.,,,2008,65.2,62.2,68.2,29.4,22.3,36.2,2011,31.3,2418,.,29.8,,.,2008,12.6,12.7,12.5,2008,40,41.1,38.8,2008,44,43.7,44.1,2011,Currently off course,Currently off course,Currently off course,2011,Currently off course
Ireland,Europe,Europe,Northern Europe,,,,,,,,,1999,6,,,,,,,,,,,.,,,.,,,2008,60.9,67.1,54.8,24.5,25.7,23.3,2011,17.2,193.8,.,,1999,Mild iodine deficiency,2008,7,8.4,5.6,2008,40.6,47,34.2,2008,62.6,65.5,59.5,,,,,2011,Currently off course
Israel,Asia,Asia,Western Asia,,,,,,,,,2001,8,,,,,,,,,,,.,,,.,,,2008,60.1,62.5,57.8,25.5,23.2,27.6,2011,17.1,305.1,.,,,.,2008,9.4,10.2,8.7,2008,33.6,37.4,29.9,2008,53.5,51.8,54.8,,,,,2011,Currently off course
Italy,Europe,Europe,Southern Europe,,,,,,,,,1998,6,,,,,,,,,,,.,,,.,,,2008,49.2,58.3,40.1,17.2,19.3,14.9,2011,19.4,2681.7,.,,1992-99,Mild iodine deficiency,2008,7.1,8.8,5.4,2008,37.9,42.2,33.6,2008,62.2,62.3,61.6,,,,,2011,Currently off course
Jamaica,Americas,Latin America and the Caribbean,Caribbean,2010,4.8,3.5,,4,11.7,8.5,9.8,2005,12,2004,4.5,2006,5.6,2007,3.8,2008,5.2,2010,4.8,2010,21.7,6,.,,,2008,56.2,40.7,70.6,24.6,10,38.2,2011,24.4,176.5,1998,29.4,,.,2008,11.6,10.2,12.9,2008,40.6,42.7,38.6,2008,30.7,27.1,34,2010,Currently on course,Currently on course,Currently on course,2011,Currently off course
Japan,Asia,Asia,Eastern Asia,,,,,,,,,2000,8,,,,,,,,,,,.,,,.,,,2008,22.4,28.9,15.9,4.5,5.5,3.5,2011,22.1,5929.5,.,,,.,2008,5.9,7.2,4.7,2008,36,41.3,30.7,2008,57.1,58.2,55.7,,,,,2011,Currently off course
Jordan,Asia,Asia,Western Asia,2012,7.8,2.4,0.6,4.7,70.5,22,43,2007,13,1990,20.5,1997,11.1,2002,12,2009,8.3,2012,7.8,2007,21.2,5,2012,1.9,0.5,2008,68.8,66.5,71.2,34.3,27.3,41.7,2011,28.4,456.3,2002,15.1,2000,Optimal iodine nutrition,2008,17.7,17.2,18.1,2008,35.1,38,32,2008,48.8,47.8,49.6,2012,Currently on course,Currently on course,Currently off course,2011,Currently off course
Kazakhstan,Asia,Asia,Central Asia,2010,13.1,4.1,1.7,13.3,213.5,66.8,216.7,2010-2011,5,1995,23.3,1999,13.9,2006,17.5,2010,13.1,,,.,,,1999,9.8,0.7,2008,56.7,57,55.9,24.4,20.2,27.4,2011,29.8,1319.6,2002,27.1,1999,Mild iodine deficiency,2008,11.5,12.5,10.8,2008,44.8,48.5,41.4,2008,45.7,45,45.6,2010,Currently off course,Currently on course,Currently off course,2011,Currently off course
Kenya,Africa,Africa,Eastern Africa,2009,35.2,7,2.1,5,2449.8,487.2,348,2008-2009,8,1998,37.4,2000,41,2003,35.8,2005,40.9,2009,35.2,.,,,2008-09,12.2,1,2008,20.5,15.2,25.5,4.7,2.5,6.8,2011,25,2521.1,1999,84.4,1994,Optimal iodine nutrition,2008,7.7,7.6,7.8,2008,44.5,46.2,42.7,2008,26.9,26.3,27.2,2009,Currently off course,Currently off course,Currently on course,2011,Currently on course
Kiribati,Oceania,Oceania,Micronesia,,,,,,,,,1998,5,1985,34.4,2009,,,,,,,,2011,39.8,8.2,.,,,2008,80.5,78.4,82.5,45.8,37.7,53.6,2011,20.9,5.8,.,21.8,,.,2008,24.2,23.6,24.9,2008,37.4,42.2,32.8,2008,35.5,32.6,38.2,,,,,2011,Currently off course
Kuwait,Asia,Asia,Western Asia,2012,4.3,2.4,0.6,9.5,13.3,7.4,29.4,1997-1998,7,2008,5.1,2009,3.8,2010,4.1,2011,4,2012,4.3,2011,51.4,22.7,.,,,2008,79.3,78.1,81.3,42.8,37.2,52.4,2011,22.4,149.7,.,,1997,Optimal iodine nutrition,2008,16.2,17,14.8,2008,38.4,40.3,34.7,2008,55.7,54,56.2,2012,Currently off course,Currently on course,Currently off course,2011,Currently off course
Kyrgyzstan,Asia,Asia,Central Asia,2012,17.8,2.8,1.3,9,116,17.5,58.5,2006,5,1997,36.2,2006,18.1,2009,22.6,2012,17.8,,,.,,,2012,6.2,0.4,2008,46.6,43.4,48.9,17.2,11.7,21.6,2011,32.5,491.3,.,26.3,1994,Moderate iodine deficiency,2008,10.7,11.1,10.4,2008,45,47.1,42.8,2008,30.1,28.3,31.2,2012,Currently off course,Currently on course,Currently off course,2011,Currently off course
Lao People's Democratic Republic,Asia,Asia,South-Eastern Asia,2011,43.8,6.4,1.9,2,385,56.3,17.6,2011-2012,15,1993,53.6,1994,52.9,2000,48.2,2006,47.6,2011,43.8,.,,,.,,,2008,14.8,11.6,17.8,3,1.7,4.1,2011,31,528.7,2000,44.7,2000,Optimal iodine nutrition,2008,7.4,7.1,7.6,2008,37.3,39.7,35.1,2008,31.4,28.8,33.6,2011,Currently off course,Currently off course,Currently on course,2011,Currently off course
Latvia,Europe,Europe,Northern Europe,,,,,,,,,2001,5,,,,,,,,,,,.,,,.,,,2008,53.6,59.4,47.8,22,21.5,21.8,2011,23.5,130.6,.,13,2000,Mild iodine deficiency,2008,9.7,10.4,9,2008,46.6,51.2,42.2,2008,55.7,55.3,55.2,,,,,2011,Currently off course
Lebanon,Asia,Asia,Western Asia,,,,,,,,,2009,12,1996,17.2,2004,16.5,,,,,,,2011,24.1,6.7,.,,,2008,62.8,67,58.7,28.2,26.4,29.7,2011,27.5,331.1,.,11,1997,Mild iodine deficiency,2008,11.9,13,11,2008,40.4,44.3,36.8,2008,44.2,41,47,,,,,2011,Currently off course
Lesotho,Africa,Africa,Southern Africa,2009,39,3.9,1.5,7.3,100.5,10.1,18.8,2009,11,1992,39.2,1993,37.5,2000,53,2004,45.2,2009,39,.,,,2009,3.5,1.2,2008,41,17.3,58.1,16.9,3.1,26.6,2011,26.8,150.5,.,32.7,1999,Moderate iodine deficiency,2008,10.8,9,12,2008,45.3,45.7,44.7,2008,24.1,21.1,24.1,2009,Currently off course,Currently on course,Currently off course,2011,Currently off course
Liberia,Africa,Africa,Western Africa,2010,41.8,2.8,0.2,4.2,283.2,19,28.5,2007,14,2000,45.3,2007,39.4,2010,41.8,,,,,.,,,2007,9.2,2.1,2008,22.7,17.7,27.5,5.5,3.1,7.7,2011,49.3,475.4,1999,52.9,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,8.9,8.4,9.3,2008,46,47.1,44.6,2008,16.1,14.1,17.8,2010,Currently off course,Currently on course,Currently on course,2011,Currently off course
Libya,Africa,Africa,Northern Africa,2007,21,6.5,2.9,22.4,135.5,41.9,144.5,1995,7,1995,21.1,2007,21,,,,,,,2007,26,8.2,.,,,2008,65.4,60.4,71,30.8,21.5,41.3,2011,27.9,503.2,.,8,,.,2008,14.4,14.5,14.4,2008,49.6,51.7,47.4,2008,35.6,34.8,36.6,2007,,Currently off course,Currently off course,2011,Currently off course
Liechtenstein,Europe,Europe,Western Europe,,,,,,,,,.,,,,,,,,,,,,.,,,.,,,2008,,,,,,,2011,,,.,,,.,2008,,,,2008,,,,2008,,,,,,,,2011,
Lithuania,Europe,Europe,Northern Europe,,,,,,,,,2001,4,,,,,,,,,,,.,,,.,,,2008,56.9,62.8,51,24.7,23.9,24.7,2011,23,193.5,.,11.1,1995,Mild iodine deficiency,2008,10.4,11.2,9.7,2008,47.7,52.1,43.4,2008,54.8,54.9,54,,,,,2011,Currently off course
Luxembourg,Europe,Europe,Western Europe,,,,,,,,,2000,8,,,,,,,,,,,.,,,.,,,2008,56.7,64,49.2,23.4,24.5,22.2,2011,17.6,22.5,.,,1994,Mild iodine deficiency,2008,8.3,9.9,6.7,2008,36.7,42.1,31.3,2008,66.9,69.5,64.1,,,,,2011,Currently off course
Madagascar,Africa,Africa,Eastern Africa,2009,49.2,,,,1734.2,,,2008-2009,16,1993,54.1,1995,55.2,1997,58.2,2004,52.8,2009,49.2,.,,,2008-09,28.2,7,2008,10.6,12.6,8.8,1.7,1.8,1.5,2011,31.8,1603.4,2000,42.1,,.,2008,7.5,8.1,7,2008,47.6,48.7,46.4,2008,24.4,23.8,25.8,2009,Currently off course,,,2011,Currently off course
Malawi,Africa,Africa,Eastern Africa,2010,47.8,4.1,1.6,9.2,1346.5,115.5,259.2,2010,14,2000,54.6,2004,52.5,2006,53.2,2009,48.8,2010,47.8,2009,6,0.3,2010,7,2,2008,20.6,16.7,24.3,4.5,2.6,6.2,2011,28.8,984.3,2001,59.2,,.,2008,6.3,6.4,6.2,2008,49.7,51.5,47.8,2008,24.1,23.1,24.9,2010,Currently off course,Currently on course,Currently off course,2011,Currently off course
Malaysia,Asia,Asia,South-Eastern Asia,2006,17.2,,,,427.2,,,2000-2009,11,1993,,1994,,1995,,1999,20.7,2006,17.2,2012,23.7,9.6,.,,,2008,44.6,42.4,47,14.1,10.4,17.9,2011,20.7,1555.7,1999,3.5,1995,Mild iodine deficiency,2008,11.4,11.6,11.2,2008,38,40.3,35.7,2008,52.1,50,54,2006,Currently off course,,,2011,Currently off course
Maldives,Asia,Asia,Southern Asia,2009,20.3,10.2,2.6,6.5,7.2,3.6,2.3,2009,11,1994,36.1,1995,33,1997,46.7,2001,31.9,2009,20.3,.,,,2009,8.5,9.8,2008,40.7,29.4,52.5,16.1,6.5,26.1,2011,36.6,35.6,2001,9.4,1995,Mild iodine deficiency,2008,7.6,7.8,7.5,2008,38.4,41.5,35.1,2008,41.7,37.4,46.2,2009,Currently on course,Currently off course,Currently off course,2011,Currently off course
Mali,Africa,Africa,Western Africa,2006,38.5,15.3,6,4.7,1098.6,436.6,134.1,2010,18,1987,35.8,1996,39.9,2001,42.7,2006,38.5,,,.,,,2006,10.8,0.5,2008,21,15.3,25.7,4.8,2.4,6.8,2011,56.2,2015.8,.,58.6,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,9.3,9,9.5,2008,41.1,41,41,2008,19.4,18,20.3,2006,Currently off course,Currently off course,Currently off course,2011,Currently off course
Malta,Europe,Europe,Southern Europe,,,,,,,,,2001,6,,,,,,,,,,,.,,,.,,,2008,61.6,66.8,56,26.6,26.1,26.8,2011,17.1,16.9,.,4,,.,2008,10.4,11.8,8.9,2008,38.6,43.3,33.8,2008,59,60.7,56.9,,,,,2011,Currently off course
Marshall Islands,Oceania,Oceania,Micronesia,,,,,,,,,2007,18,,,,,,,,,,,.,,,.,,,2008,80.2,78.2,82,46.5,38.8,53.9,2011,20,3,1995,60.7,,.,2008,28.7,25.5,31.9,2008,36.8,40.7,33.1,2008,46.1,43.1,49,,,,,2011,Currently off course
Mauritania,Africa,Africa,Western Africa,2012,22,11.6,1.9,1.2,126.2,66.5,6.9,2011,35,2000,39.5,2007,28.9,2008,23,2011,29.7,2012,22,2010,22.5,3,2000-01,8.6,0.6,2008,38.7,22.8,53.9,14,4.3,23.3,2011,39,342.8,.,47.7,1995,Mild iodine deficiency,2008,8,7.5,8.3,2008,45.2,47.1,43.2,2008,22.2,21.3,22.9,2012,Currently off course,Currently off course,Currently on course,2011,Currently off course
Mauritius,Africa,Africa,Eastern Africa,,,,,,,,,2003,14,1985,27.3,1995,13.6,,,,,,,2011,21,6.2,.,,,2008,49.4,46.7,51.7,18.2,12.9,23,2011,23.4,85.1,1995,9.2,1995,Optimal iodine nutrition,2008,10.7,11.6,9.9,2008,46.2,48.6,43.7,2008,47.1,47.8,46,,,,,2011,Currently off course
Mexico,Americas,Latin America and the Caribbean,Central America,2012,13.6,1.6,0.4,9,1547.2,182,1023.9,2012,9,1989,26,1996,25.8,1998,21.7,2006,15.5,2012,13.6,.,,,.,,,2008,69.1,67.8,70.3,32.8,26.7,38.4,2011,14.4,4491.6,1999,26.8,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,14.1,13.2,14.9,2008,36.1,39.4,33.1,2008,50.7,47.4,53.6,2012,Currently off course,Currently on course,Currently off course,2011,Currently off course
Micronesia (Federated States of),Oceania,Oceania,Micronesia,,,,,,,,,2000,18,,,,,,,,,,,.,,,.,,,2008,76.8,71.4,82.5,42,30.9,53.4,2011,18.3,5,2000-02,54.2,,.,2008,17,14,19.8,2008,41.8,46.2,37.5,2008,48.1,48.5,47.5,,,,,2011,Currently off course
Monaco,Europe,Europe,Western Europe,,,,,,,,,.,,,,,,,,,,,,.,,,.,,,2008,,,,,,,2011,,,.,,,.,2008,,,,2008,,,,2008,,,,,,,,2011,
Mongolia,Asia,Asia,Eastern Asia,2010,15.9,2.3,1.4,10.9,47.4,6.9,32.5,2010,5,1999,30.1,2000,29.8,2004,23.5,2005,27.5,2010,15.9,2013,11.5,1.6,.,,,2008,47.1,44.4,49.6,16.4,11.9,20.7,2011,20.2,167.6,1999,19.8,2001,Optimal iodine nutrition,2008,9.9,10.9,8.9,2008,47,51.4,42.7,2008,37.3,37,37.4,2010,Currently on course,Currently on course,Currently off course,2011,Currently off course
Montenegro,Europe,Europe,Southern Europe,2013,9.4,2.8,1.2,22.3,4,1.1,8.6,2005,4,2005,7.9,2013,9.4,,,,,,,.,,,.,,,2008,61.3,61.3,48.4,21.8,22.8,20.7,2011,24.1,37.5,.,17.2,,.,2008,9.1,9.8,8.4,2008,45.6,49.6,42,2008,48.3,48.4,47.9,2013,Currently off course,Currently on course,Currently off course,2011,Currently off course
Morocco,Africa,Africa,Northern Africa,2011,14.9,2.3,1,10.7,487.2,75.2,349.9,2003-2004,15,1987,34.5,1992,29.9,1997,29,2003,23.1,2011,14.9,2010,14.1,2.5,2003-4,4.4,0.7,2008,48.5,43.1,53.6,17.3,11.1,23.1,2011,33.1,3037,1996,40.4,1993,Mild iodine deficiency,2008,10.8,10.6,10.9,2008,45,43.9,46,2008,37.2,35.3,39,2011,Currently on course,Currently on course,Currently off course,2011,Currently off course
Mozambique,Africa,Africa,Eastern Africa,2011,43.1,6.1,2.3,7.9,1879.2,266,344.4,2011,17,1997,48.7,2001,49.6,2003,47,2008,43.7,2011,43.1,.,,,2011,6.9,3.8,2008,22.7,16.5,28,5.4,2.6,7.8,2011,44.2,2512.5,2002,68.8,1998,Mild iodine deficiency,2008,8.1,8,8.2,2008,50.9,52.6,49.3,2008,26,26.1,25.9,2011,Currently off course,Currently off course,Currently off course,2011,Currently off course
Myanmar,Asia,Asia,South-Eastern Asia,2009,35.1,7.9,2.1,2.6,1542,347.1,114.2,2009-2010,9,1995,,1997,55.4,2000,40.8,2003,40.6,2009,35.1,2007,5.1,0.7,.,,,2008,18.8,13.8,23.6,4.1,2,6.1,2011,30.3,4206.1,.,36.7,2001,Optimal iodine nutrition,2008,6.6,6.1,7.1,2008,42,44.3,39.8,2008,30.4,27.6,32.8,2009,Currently off course,Currently off course,Currently off course,2011,Currently off course
Namibia,Africa,Africa,Southern Africa,2007,29.6,7.5,2,4.6,83.7,21.2,13,2006-2007,16,1992,35.7,2000,29.5,2007,29.6,,,,,2013,7.5,1.7,2006-7,12.3,0.8,2008,34.6,23.3,44.7,10.9,4.3,16.8,2011,32.7,196.9,.,17.5,,.,2008,9.2,8.6,9.6,2008,49.1,51,46.9,2008,33.1,31.1,34.5,2007,Currently off course,Currently off course,Currently off course,2011,Currently off course
Nauru,Oceania,Oceania,Micronesia,2007,24,1,0.2,2.8,,,,2007,27,2007,24,,,,,,,,,2011,44.5,16.7,.,,,2008,92.8,93.5,92.3,71.1,67.5,74.7,2011,,,.,10,,.,2008,14,12.8,15.2,2008,43.9,48.4,39.7,2008,46.2,41.2,50.9,2007,,Currently on course,,2011,
Nepal,Asia,Asia,Southern Asia,2011,40.5,11.2,2.9,1.5,1218.1,336.8,45.1,2011,18,1996,65.7,1998,61.1,2001,57.1,2006,49.3,2011,40.5,.,,,2011,19.7,12.1,2008,9.3,9.8,8.9,1.5,1.4,1.6,2011,36.1,2892.9,1998,32.3,1997-8,Optimal iodine nutrition,2008,9.5,9.8,9.3,2008,38.6,38.4,38.7,2008,23.2,22.1,24.1,2011,Currently on course,Currently off course,Currently off course,2011,Currently off course
Netherlands,Europe,Europe,Western Europe,,,,,,,,,.,,,,,,,,,,,,.,,,.,,,2008,47.8,52.4,43.2,16.2,16.1,16.1,2011,18.1,690.2,.,,1995-6,Optimal iodine nutrition,2008,5.1,6.1,4.1,2008,36.6,42.4,30.8,2008,60.5,62.5,58.2,,,,,2011,Currently off course
New Zealand,Oceania,Oceania,Australia and New Zealand,,,,,,,,,2000,6,,,,,,,,,,,.,,,.,,,2008,64.1,67.8,60.6,27,26.2,27.7,2011,14.8,160.4,.,,1996-9,Mild iodine deficiency,2008,9.9,11.1,8.8,2008,32.6,37.5,28,2008,56.2,56.8,55.4,,,,,2011,Currently off course
Nicaragua,Americas,Latin America and the Caribbean,Central America,2006,23,1.5,0.5,6.2,157.1,10.2,42.4,2011,8,1993,29.6,1998,30.5,2001,25.2,2004,18.8,2006,23,.,,,2001,3,6.4,2008,58.4,53.3,63.2,24.2,16.8,31.3,2011,12.9,204.4,2004,3.1,2000,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,9,8.6,9.4,2008,39,42.6,35.5,2008,30,27,32.9,2006,Currently off course,Currently on course,Currently on course,2011,Currently off course
Niger,Africa,Africa,Western Africa,2012,43,18.7,6.9,3,1525.6,663.4,106.4,2006,27,1992,48.3,1998,50.7,2000,54.2,2006,54.8,2012,43,.,,,2012,12.6,0.4,2008,13.7,11,16.6,2.5,1.5,3.7,2011,46.7,1624.4,.,67,1998,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,8,7.8,8.3,2008,52.3,55.5,49.3,2008,15.2,14.2,16.5,2012,Currently off course,Currently off course,Currently off course,2011,Currently off course
